thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,0,15,[np.float64(0.42314814814814816)],[np.float64(-0.09907407407407408)],[1],[0],[0],[1.7390950999688357],['target'],15,0,15,0,24.372642200207338,,5,24.36844820016995,24.372642200207338,24.372642200207338,0.010579599998891354,26.107637100154534,[np.float64(0.42314814814814816)],[np.float64(-0.09907407407407408)],[1],[0],[0],[1.7390950999688357],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
16,0,16,[np.float64(0.40555555555555556)],[np.float64(-0.1287037037037037)],[1],[0],[0],[1.1147755000274628],['target'],16,0,16,0,26.13340980000794,,10,26.126404900103807,26.13340980000794,26.13340980000794,0.01856050011701882,27.2412874000147,[np.float64(0.40555555555555556)],[np.float64(-0.1287037037037037)],[1],[0],[0],[1.1147755000274628],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
17,0,17,[np.float64(-0.06759259259259259)],[np.float64(0.05092592592592592)],[1],[0],[0],[1.6264009000733495],['target'],17,0,17,0,27.271855000173673,,10,27.263993100030348,27.271855000173673,27.271855000173673,0.0224373999517411,28.890461600152776,[np.float64(-0.06759259259259259)],[np.float64(0.05092592592592592)],[1],[0],[0],[1.6264009000733495],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
18,0,18,[np.float64(-0.09814814814814815)],[np.float64(-0.3351851851851852)],[1],[0],[0],[2.180463399970904],['target'],18,0,18,0,28.918996600201353,,10,28.910629000049084,28.918996600201353,28.918996600201353,0.02001520013436675,31.09119060006924,[np.float64(-0.09814814814814815)],[np.float64(-0.3351851851851852)],[1],[0],[0],[2.180463399970904],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
19,0,19,[np.float64(0.375)],[np.float64(0.041666666666666664)],[1],[0],[0],[1.2970352999400347],['target'],19,0,19,0,31.117565300082788,,10,31.1108508000616,31.117565300082788,31.117565300082788,0.019406800158321857,32.40798500017263,[np.float64(0.375)],[np.float64(0.041666666666666664)],[1],[0],[0],[1.2970352999400347],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
20,0,20,[np.float64(-0.45925925925925926)],[np.float64(-0.4027777777777778)],[1],[0],[0],[1.4860326999332756],['target'],20,0,20,0,32.42497910000384,,5,32.4205796001479,32.42497910000384,32.42497910000384,0.0123433000408113,33.90666090021841,[np.float64(-0.45925925925925926)],[np.float64(-0.4027777777777778)],[1],[0],[0],[1.4860326999332756],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
21,0,21,[np.float64(-0.3824074074074074)],[np.float64(0.26296296296296295)],[1],[0],[0],[1.7685944999102503],['target'],21,0,21,0,33.92943100002594,,10,33.92224370012991,33.92943100002594,33.92943100002594,0.015501599991694093,35.69093870022334,[np.float64(-0.3824074074074074)],[np.float64(0.26296296296296295)],[1],[0],[0],[1.7685944999102503],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
22,0,22,[np.float64(0.3972222222222222)],[np.float64(0.2712962962962963)],[1],[0],[0],[1.4319063001312315],['target'],22,0,22,0,35.714997300179675,,10,35.70843580015935,35.714997300179675,35.714997300179675,0.01724900002591312,37.14038690016605,[np.float64(0.3972222222222222)],[np.float64(0.2712962962962963)],[1],[0],[0],[1.4319063001312315],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
23,0,23,[np.float64(-0.21296296296296297)],[np.float64(-0.0824074074074074)],[1],[0],[0],[1.6421514002140611],['target'],23,0,23,0,37.155994000146165,,5,37.148573900107294,37.155994000146165,37.155994000146165,0.008071700111031532,38.790767200058326,[np.float64(-0.21296296296296297)],[np.float64(-0.0824074074074074)],[1],[0],[0],[1.6421514002140611],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
24,0,24,[np.float64(-0.37777777777777777)],[np.float64(0.16018518518518518)],[1],[0],[0],[1.2748974999412894],['target'],24,0,24,0,38.80596310016699,,5,38.798579200170934,38.80596310016699,38.80596310016699,0.007739800028502941,40.07352160010487,[np.float64(-0.37777777777777777)],[np.float64(0.16018518518518518)],[1],[0],[0],[1.2748974999412894],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
25,0,25,[np.float64(-0.5027777777777778)],[np.float64(-0.3277777777777778)],[1],[0],[0],[1.741844599833712],[None],25,0,25,0,40.08944880007766,,5,40.08169580018148,40.08944880007766,40.08944880007766,0.008060700027272105,41.82358400011435,[np.float64(-0.5027777777777778)],[np.float64(-0.3277777777777778)],[1],[0],[0],[1.741844599833712],[None],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
26,0,26,[np.float64(-0.1935185185185185)],[np.float64(-0.0824074074074074)],[1],[0],[0],[1.2216564000118524],['target'],26,0,26,0,41.84026420000009,,5,41.835751900216565,41.84026420000009,41.84026420000009,0.012075700098648667,43.0574823000934,[np.float64(-0.1935185185185185)],[np.float64(-0.0824074074074074)],[1],[0],[0],[1.2216564000118524],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
27,0,27,[np.float64(0.05740740740740741)],[np.float64(0.4425925925925926)],[1],[0],[0],[1.28062120010145],['target'],27,0,27,0,43.083625100087374,,10,43.076671899994835,43.083625100087374,43.083625100087374,0.019046399975195527,44.35738590010442,[np.float64(0.05740740740740741)],[np.float64(0.4425925925925926)],[1],[0],[0],[1.28062120010145],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
28,0,28,[np.float64(0.3314814814814815)],[np.float64(-0.2777777777777778)],[1],[0],[0],[1.915563000133261],['target'],28,0,28,0,44.383057800121605,,10,44.37624750006944,44.383057800121605,44.383057800121605,0.018651599995791912,46.29191120015457,[np.float64(0.3314814814814815)],[np.float64(-0.2777777777777778)],[1],[0],[0],[1.915563000133261],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
29,0,29,[np.float64(0.3314814814814815)],[np.float64(0.3212962962962963)],[1],[0],[0],[1.3623738000169396],['target'],29,0,29,0,46.318087600171566,,10,46.311283900169656,46.318087600171566,46.318087600171566,0.01912070019170642,47.673701600171626,[np.float64(0.3314814814814815)],[np.float64(0.3212962962962963)],[1],[0],[0],[1.3623738000169396],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
30,0,30,[np.float64(0.47685185185185186)],[np.float64(-0.3574074074074074)],[1],[0],[0],[2.226455100113526],['target'],30,0,30,0,47.689328600186855,,5,47.68125750008039,47.689328600186855,47.689328600186855,0.00746440002694726,49.90780740021728,[np.float64(0.47685185185185186)],[np.float64(-0.3574074074074074)],[1],[0],[0],[2.226455100113526],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
31,0,31,[np.float64(-0.05)],[np.float64(0.08518518518518518)],[1],[0],[0],[1.9483052000869066],['target'],31,0,31,0,49.932784700067714,,10,49.92604869999923,49.932784700067714,49.932784700067714,0.018044699914753437,51.874456100165844,[np.float64(-0.05)],[np.float64(0.08518518518518518)],[1],[0],[0],[1.9483052000869066],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
32,0,32,[np.float64(-0.13425925925925927)],[np.float64(0.225)],[1],[0],[0],[2.747480900026858],['target'],32,0,32,0,51.90095550008118,,10,51.894018300110474,51.90095550008118,51.90095550008118,0.019299499923363328,54.64161330019124,[np.float64(-0.13425925925925927)],[np.float64(0.225)],[1],[0],[0],[2.747480900026858],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
33,0,33,[np.float64(-0.06851851851851852)],[np.float64(-0.1425925925925926)],[1],[0],[0],[2.9982620999217033],['target'],33,0,33,0,54.66652200021781,,10,54.65937890019268,54.66652200021781,54.66652200021781,0.017464800039306283,57.657739400165156,[np.float64(-0.06851851851851852)],[np.float64(-0.1425925925925926)],[1],[0],[0],[2.9982620999217033],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
34,0,34,[np.float64(0.35555555555555557)],[np.float64(0.30277777777777776)],[1],[0],[0],[1.4728627000004053],['target'],34,0,34,0,57.67260400019586,,5,57.66817340021953,57.67260400019586,57.67260400019586,0.010181999998167157,59.14113900018856,[np.float64(0.35555555555555557)],[np.float64(0.30277777777777776)],[1],[0],[0],[1.4728627000004053],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
35,0,35,[np.float64(0.001851851851851852)],[np.float64(0.11481481481481481)],[1],[0],[0],[1.789533199975267],['target'],35,0,35,0,59.15587230003439,,5,59.150650000199676,59.15587230003439,59.15587230003439,0.009303299942985177,60.940291200065985,[np.float64(0.001851851851851852)],[np.float64(0.11481481481481481)],[1],[0],[0],[1.789533199975267],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
36,0,36,[np.float64(0.17592592592592593)],[np.float64(0.08703703703703704)],[1],[0],[0],[1.3219496000092477],[None],36,0,36,0,60.956731900107116,,5,60.952256500022486,60.956731900107116,60.956731900107116,0.011760399909690022,62.2743053000886,[np.float64(0.17592592592592593)],[np.float64(0.08703703703703704)],[1],[0],[0],[1.3219496000092477],[None],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
37,0,37,[np.float64(0.15185185185185185)],[np.float64(0.425)],[1],[0],[0],[1.3553050998598337],['target'],37,0,37,0,62.28998240013607,,5,62.28545329999179,62.28998240013607,62.28998240013607,0.010937399929389358,63.64085800014436,[np.float64(0.15185185185185185)],[np.float64(0.425)],[1],[0],[0],[1.3553050998598337],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
38,0,38,[np.float64(-0.3333333333333333)],[np.float64(0.4527777777777778)],[1],[0],[0],[1.697334900032729],['target'],38,0,38,0,63.66617430001497,,10,63.6594911001157,63.66617430001497,63.66617430001497,0.01842970005236566,65.35690750018694,[np.float64(-0.3333333333333333)],[np.float64(0.4527777777777778)],[1],[0],[0],[1.697334900032729],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
39,0,39,[np.float64(-0.026851851851851852)],[np.float64(0.35555555555555557)],[1],[0],[0],[1.3573050999548286],['target'],39,0,39,0,65.37256260006689,,5,65.36702310014516,65.37256260006689,65.37256260006689,0.00984820001758635,66.72442670003511,[np.float64(-0.026851851851851852)],[np.float64(0.35555555555555557)],[1],[0],[0],[1.3573050999548286],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
40,0,40,[np.float64(-0.48703703703703705)],[np.float64(-0.46574074074074073)],[1],[0],[0],[1.7316680999938399],['target'],40,0,40,0,66.74927460006438,,10,66.74239970021881,66.74927460006438,66.74927460006438,0.01776600000448525,68.4741150001064,[np.float64(-0.48703703703703705)],[np.float64(-0.46574074074074073)],[1],[0],[0],[1.7316680999938399],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
41,0,41,[np.float64(0.19537037037037036)],[np.float64(-0.46944444444444444)],[1],[0],[0],[2.366213700035587],['target'],41,0,41,0,68.49716010014527,,10,68.4905982001219,68.49716010014527,68.49716010014527,0.016388700110837817,70.85685870004818,[np.float64(0.19537037037037036)],[np.float64(-0.46944444444444444)],[1],[0],[0],[2.366213700035587],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
42,0,42,[np.float64(-0.1425925925925926)],[np.float64(0.362962962962963)],[1],[0],[0],[1.7408918000292033],[None],42,0,42,0,70.8725191000849,,5,70.86624020012096,70.8725191000849,70.8725191000849,0.009266700129956007,72.60720520000905,[np.float64(-0.1425925925925926)],[np.float64(0.362962962962963)],[1],[0],[0],[1.7408918000292033],[None],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
43,0,43,[np.float64(0.062037037037037036)],[np.float64(-0.16296296296296298)],[1],[0],[0],[1.573811599984765],['target'],43,0,43,0,72.62251380016096,,5,72.61665800004266,72.62251380016096,72.62251380016096,0.00931350002065301,74.19055330008268,[np.float64(0.062037037037037036)],[np.float64(-0.16296296296296298)],[1],[0],[0],[1.573811599984765],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
44,0,44,[np.float64(-0.1675925925925926)],[np.float64(0.4166666666666667)],[1],[0],[0],[1.7158428998664021],['target'],44,0,44,0,74.2146342000924,,10,74.20786820002832,74.2146342000924,74.2146342000924,0.017156300134956837,75.92381170019507,[np.float64(-0.1675925925925926)],[np.float64(0.4166666666666667)],[1],[0],[0],[1.7158428998664021],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
45,0,45,[np.float64(-0.3435185185185185)],[np.float64(0.49166666666666664)],[1],[0],[0],[1.187500299885869],['target'],45,0,45,0,75.94137660018168,,5,75.93670430011116,75.94137660018168,75.94137660018168,0.012642000103369355,77.12430350016803,[np.float64(-0.3435185185185185)],[np.float64(0.49166666666666664)],[1],[0],[0],[1.187500299885869],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
46,0,46,[np.float64(-0.13425925925925927)],[np.float64(-0.2388888888888889)],[1],[0],[0],[1.5547795998863876],['target'],46,0,46,0,77.13998490013182,,5,77.13561420002952,77.13998490013182,77.13998490013182,0.011103100143373013,78.69045790005475,[np.float64(-0.13425925925925927)],[np.float64(-0.2388888888888889)],[1],[0],[0],[1.5547795998863876],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
47,0,47,[np.float64(-0.3925925925925926)],[np.float64(-0.26851851851851855)],[1],[0],[0],[1.3413302002009004],['target'],47,0,47,0,78.7058256000746,,5,78.69933070009574,78.7058256000746,78.7058256000746,0.008747900137677789,80.04073860007338,[np.float64(-0.3925925925925926)],[np.float64(-0.26851851851851855)],[1],[0],[0],[1.3413302002009004],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
48,0,48,[np.float64(0.1648148148148148)],[np.float64(0.30277777777777776)],[1],[0],[0],[1.9477381999604404],['target'],48,0,48,0,80.06558580021374,,10,80.0589407000225,80.06558580021374,80.06558580021374,0.0180500999558717,82.00672120018862,[np.float64(0.1648148148148148)],[np.float64(0.30277777777777776)],[1],[0],[0],[1.9477381999604404],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
49,0,49,[np.float64(-0.10277777777777777)],[np.float64(0.11203703703703703)],[1],[0],[0],[1.5263499999418855],['target'],49,0,49,0,82.0226735000033,,5,82.01467940001749,82.0226735000033,82.0226735000033,0.007866899948567152,83.54114740015939,[np.float64(-0.10277777777777777)],[np.float64(0.11203703703703703)],[1],[0],[0],[1.5263499999418855],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
50,0,50,[np.float64(-0.42314814814814816)],[np.float64(-0.2657407407407407)],[1],[0],[0],[1.565786899998784],['target'],50,0,50,0,83.56487290002406,,10,83.5580895000603,83.56487290002406,83.56487290002406,0.016740299994125962,85.1239486001432,[np.float64(-0.42314814814814816)],[np.float64(-0.2657407407407407)],[1],[0],[0],[1.565786899998784],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
51,0,51,[np.float64(0.3435185185185185)],[np.float64(-0.05648148148148148)],[1],[0],[0],[1.566395299974829],['target'],51,0,51,0,85.14839900005609,,10,85.14160960004665,85.14839900005609,85.14839900005609,0.01747239986434579,86.70810920000076,[np.float64(0.3435185185185185)],[np.float64(-0.05648148148148148)],[1],[0],[0],[1.566395299974829],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
52,0,52,[np.float64(-0.053703703703703705)],[np.float64(0.4009259259259259)],[1],[0],[0],[3.091608499875292],['target'],52,0,52,0,86.72281160019338,,5,86.71587340021506,86.72281160019338,86.72281160019338,0.007462600013241172,89.80756480013952,[np.float64(-0.053703703703703705)],[np.float64(0.4009259259259259)],[1],[0],[0],[3.091608499875292],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
53,0,53,[np.float64(-0.33611111111111114)],[np.float64(-0.2101851851851852)],[1],[0],[0],[1.306495500029996],['target'],53,0,53,0,89.82257500011474,,5,89.817724800203,89.82257500011474,89.82257500011474,0.01000209990888834,91.12440720014274,[np.float64(-0.33611111111111114)],[np.float64(-0.2101851851851852)],[1],[0],[0],[1.306495500029996],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
54,0,54,[np.float64(-0.22870370370370371)],[np.float64(0.17962962962962964)],[1],[0],[0],[1.4715177998878062],['target'],54,0,54,0,91.1403469000943,,5,91.1359227001667,91.1403469000943,91.1403469000943,0.01130790007300675,92.60754570015706,[np.float64(-0.22870370370370371)],[np.float64(0.17962962962962964)],[1],[0],[0],[1.4715177998878062],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
55,0,55,[np.float64(-0.24351851851851852)],[np.float64(-0.07777777777777778)],[1],[0],[0],[1.5323752001859248],['target'],55,0,55,0,92.63197920005769,,10,92.6252461001277,92.63197920005769,92.63197920005769,0.017495400039479136,94.15772120002657,[np.float64(-0.24351851851851852)],[np.float64(-0.07777777777777778)],[1],[0],[0],[1.5323752001859248],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
