thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.040740740740740744)],[np.float64(0.3972222222222222)],[1],[0],[0],[1.9487767999526113],['target'],0,0,0,0,0.036034100223332644,,10,0.02627780009061098,0.036034100223332644,0.036034100223332644,0.026297099888324738,1.9751612001564354,[np.float64(-0.040740740740740744)],[np.float64(0.3972222222222222)],[1],[0],[0],[1.9487767999526113],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
1,0,1,[np.float64(0.41388888888888886)],[np.float64(-0.41388888888888886)],[1],[0],[0],[1.9141645000781864],['target'],1,0,1,0,1.999857900198549,,10,1.9933033001143485,1.999857900198549,1.999857900198549,0.017863899935036898,3.9075197000056505,[np.float64(0.41388888888888886)],[np.float64(-0.41388888888888886)],[1],[0],[0],[1.9141645000781864],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
2,0,2,[np.float64(-0.3296296296296296)],[np.float64(-0.11944444444444445)],[1],[0],[0],[1.4418003999162465],['target'],2,0,2,0,3.92269690008834,,5,3.915221800096333,3.92269690008834,3.92269690008834,0.007603199919685721,5.357069300021976,[np.float64(-0.3296296296296296)],[np.float64(-0.11944444444444445)],[1],[0],[0],[1.4418003999162465],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
3,0,3,[np.float64(0.11481481481481481)],[np.float64(0.4564814814814815)],[1],[0],[0],[1.709727399982512],['target'],3,0,3,0,5.372769000008702,,5,5.364663100102916,5.372769000008702,5.372769000008702,0.007513500051572919,7.074494100175798,[np.float64(0.11481481481481481)],[np.float64(0.4564814814814815)],[1],[0],[0],[1.709727399982512],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
4,0,4,[np.float64(0.2564814814814815)],[np.float64(-0.24166666666666667)],[1],[0],[0],[1.8142772999126464],['target'],4,0,4,0,7.099345399998128,,10,7.093018500134349,7.099345399998128,7.099345399998128,0.018318200018256903,8.90736410021782,[np.float64(0.2564814814814815)],[np.float64(-0.24166666666666667)],[1],[0],[0],[1.8142772999126464],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
5,0,5,[np.float64(0.3814814814814815)],[np.float64(0.1259259259259259)],[1],[0],[0],[1.1690664999186993],['target'],5,0,5,0,8.928416500100866,,10,8.92203010013327,8.928416500100866,8.928416500100866,0.014570000115782022,10.09119480010122,[np.float64(0.3814814814814815)],[np.float64(0.1259259259259259)],[1],[0],[0],[1.1690664999186993],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
6,0,6,[np.float64(-0.26851851851851855)],[np.float64(0.34814814814814815)],[1],[0],[0],[1.6157303999643773],[None],6,0,6,0,10.11458450020291,,10,10.108476900029927,10.11458450020291,10.11458450020291,0.0170458999928087,11.724251500098035,[np.float64(-0.26851851851851855)],[np.float64(0.34814814814814815)],[1],[0],[0],[1.6157303999643773],[None],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
7,0,7,[np.float64(0.009259259259259259)],[np.float64(0.3509259259259259)],[1],[0],[0],[1.3013387999963015],['target'],7,0,7,0,11.745346900075674,,10,11.73916620016098,11.745346900075674,11.745346900075674,0.01482380018569529,13.040606399998069,[np.float64(0.009259259259259259)],[np.float64(0.3509259259259259)],[1],[0],[0],[1.3013387999963015],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
8,0,8,[np.float64(-0.4777777777777778)],[np.float64(-0.38981481481481484)],[1],[0],[0],[2.123136199777946],[None],8,0,8,0,13.056008900050074,,5,13.051225600065663,13.056008900050074,13.056008900050074,0.010365299880504608,15.174456800101325,[np.float64(-0.4777777777777778)],[np.float64(-0.38981481481481484)],[1],[0],[0],[2.123136199777946],[None],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
9,0,9,[np.float64(0.19722222222222222)],[np.float64(0.18611111111111112)],[1],[0],[0],[1.448424099944532],['target'],9,0,9,0,15.198229600209743,,10,15.192025900119916,15.198229600209743,15.198229600209743,0.017375499941408634,16.64054840011522,[np.float64(0.19722222222222222)],[np.float64(0.18611111111111112)],[1],[0],[0],[1.448424099944532],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
10,0,10,[np.float64(-0.037037037037037035)],[np.float64(0.43333333333333335)],[1],[0],[0],[1.7484344998374581],['target'],10,0,10,0,16.664454400073737,,10,16.658241200027987,16.664454400073737,16.664454400073737,0.0174428999889642,18.406723899999633,[np.float64(-0.037037037037037035)],[np.float64(0.43333333333333335)],[1],[0],[0],[1.7484344998374581],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
11,0,11,[np.float64(-0.4425925925925926)],[np.float64(0.4361111111111111)],[1],[0],[0],[1.6581983000505716],['target'],11,0,11,0,18.422543400200084,,5,18.41542680002749,18.422543400200084,18.422543400200084,0.00860509998165071,20.073668600060046,[np.float64(-0.4425925925925926)],[np.float64(0.4361111111111111)],[1],[0],[0],[1.6581983000505716],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
12,0,12,[np.float64(-0.32222222222222224)],[np.float64(0.2916666666666667)],[1],[0],[0],[1.334665099857375],['target'],12,0,12,0,20.096463500056416,,10,20.0896391000133,20.096463500056416,20.096463500056416,0.015895099844783545,21.42440260015428,[np.float64(-0.32222222222222224)],[np.float64(0.2916666666666667)],[1],[0],[0],[1.334665099857375],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
13,0,13,[np.float64(0.3287037037037037)],[np.float64(0.3101851851851852)],[1],[0],[0],[1.4709083000198007],['target'],13,0,13,0,21.44158610003069,,5,21.437032100046054,21.44158610003069,21.44158610003069,0.012380100088194013,22.908042200142518,[np.float64(0.3287037037037037)],[np.float64(0.3101851851851852)],[1],[0],[0],[1.4709083000198007],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
14,0,14,[np.float64(0.07962962962962963)],[np.float64(-0.1)],[1],[0],[0],[1.43836440006271],['target'],14,0,14,0,22.923524000216275,,5,22.919200100004673,22.923524000216275,22.923524000216275,0.010952800046652555,24.3576656000223,[np.float64(0.07962962962962963)],[np.float64(-0.1)],[1],[0],[0],[1.43836440006271],['target'],p1,001,2025-09-30_17h49.18.666,visual search,,2025.1.1,60.15906053461426,2025-09-30 17h49.26.747166 +0530,
