3.6667 	EXP 	Device response: <KeyPress from None: t=3.663938600104302, value=b, duration=None>
3.6669 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'word': 'BLUE', 'colour': 'red', 'stim_condition': 'I', 'correct_res': 'r', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
3.6715 	DATA 	Keypress: b
3.6831 	EXP 	fixation: autoDraw = False
3.6831 	EXP 	text: autoDraw = False
3.6831 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
3.6831 	EXP 	text: height = np.float64(0.05)
3.6831 	EXP 	text: height = np.float64(0.05)
3.6831 	EXP 	text: height = np.float64(0.05)
3.6831 	EXP 	text: text = 'BLUE'
3.6831 	EXP 	fixation: autoDraw = True
3.8337 	EXP 	Device response: <KeyPress from None: t=3.663938600104302, value=b, duration=0.15289559995289892>
4.1667 	INFO 	Keyboard events cleared
4.1665 	EXP 	fixation: autoDraw = False
4.1665 	EXP 	text: autoDraw = True
4.7499 	EXP 	Device response: <KeyPress from None: t=4.746333800023422, value=r, duration=None>
4.7503 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'word': 'RED', 'colour': 'red', 'stim_condition': 'c', 'correct_res': 'r', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
4.7551 	DATA 	Keypress: r
4.7664 	EXP 	fixation: autoDraw = False
4.7664 	EXP 	text: autoDraw = False
4.7664 	EXP 	text: foreColor = <psychopy.colors.Color: red, alpha=1.0>
4.7664 	EXP 	text: height = np.float64(0.05)
4.7664 	EXP 	text: height = np.float64(0.05)
4.7664 	EXP 	text: height = np.float64(0.05)
4.7664 	EXP 	text: text = 'RED'
4.7664 	EXP 	fixation: autoDraw = True
4.9509 	EXP 	Device response: <KeyPress from None: t=4.746333800023422, value=r, duration=0.20166900008916855>
5.2501 	INFO 	Keyboard events cleared
5.2499 	EXP 	fixation: autoDraw = False
5.2499 	EXP 	text: autoDraw = True
5.7167 	EXP 	Device response: <KeyPress from None: t=5.706781900022179, value=r, duration=None>
5.7169 	EXP 	New trial (rep=1, index=0): <Trial 4 (0 in rep 1) data={'word': 'RED', 'colour': 'blue', 'stim_condition': 'I', 'correct_res': 'b', 'thisN': 4, 'thisTrialN': 0, 'thisRepN': 1}>
5.7184 	DATA 	Keypress: r
5.7329 	EXP 	fixation: autoDraw = False
5.7329 	EXP 	text: autoDraw = False
5.7329 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
5.7329 	EXP 	text: text = 'RED'
5.7329 	EXP 	fixation: autoDraw = True
5.9001 	EXP 	Device response: <KeyPress from None: t=5.706781900022179, value=r, duration=0.1859368000878021>
6.2166 	INFO 	Keyboard events cleared
6.2165 	EXP 	fixation: autoDraw = False
6.2165 	EXP 	text: autoDraw = True
7.2000 	EXP 	Device response: <KeyPress from None: t=7.198684700066224, value=b, duration=None>
7.2004 	EXP 	New trial (rep=1, index=1): <Trial 5 (1 in rep 1) data={'word': 'BLUE', 'colour': 'blue', 'stim_condition': 'c', 'correct_res': 'b', 'thisN': 5, 'thisTrialN': 1, 'thisRepN': 1}>
7.2051 	DATA 	Keypress: b
7.2164 	EXP 	fixation: autoDraw = False
7.2164 	EXP 	text: autoDraw = False
7.2164 	EXP 	text: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
7.2164 	EXP 	text: height = np.float64(0.05)
7.2164 	EXP 	text: height = np.float64(0.05)
7.2164 	EXP 	text: height = np.float64(0.05)
7.2164 	EXP 	text: text = 'BLUE'
7.2164 	EXP 	fixation: autoDraw = True
7.3667 	EXP 	Device response: <KeyPress from None: t=7.198684700066224, value=b, duration=0.16447560000233352>
7.6999 	INFO 	Keyboard events cleared
7.6998 	EXP 	fixation: autoDraw = False
7.6998 	EXP 	text: autoDraw = True
