word,font_color,correct_resp,Category,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,category,neutral_pre.thisRepN,neutral_pre.thisTrialN,neutral_pre.thisN,neutral_pre.thisIndex,emotional.thisRepN,emotional.thisTrialN,emotional.thisN,emotional.thisIndex,neutral_post.thisRepN,neutral_post.thisTrialN,neutral_post.thisN,neutral_post.thisIndex,thisRow.t,notes,instruction.started,instructions_1.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,word_stim.started,key_resp.started,fixation.stopped,trial.stopped,neutral_pre.key_resp.keys,neutral_pre.key_resp.corr,neutral_pre.key_resp.rt,neutral_pre.key_resp.duration,instruction2.started,text_2.started,key_resp_3.started,instruction2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,emotional.key_resp.keys,emotional.key_resp.corr,emotional.key_resp.rt,emotional.key_resp.duration,instructions3.started,text_3.started,key_resp_4.started,instructions3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,neutral_post.key_resp.keys,neutral_post.key_resp.corr,neutral_post.key_resp.rt,neutral_post.key_resp.duration,end_2.started,text.started,key_resp_5.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.002023999986704439,0.00609830001485534,0.00609830001485534,28.181653700012248,space,27.85310809998191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p5,001,2025-11-21_00h29.38.175,emotional stroop,,2025.1.1,60.24074611705658,2025-11-21 00h29.54.473473 +0530,
page,yellow,y,neutral_per,0,0,0,y,1,3.3327514000120573,None,,0,0,0,19,,,,,,,,,28.24876360001508,,,,,,,,,28.24413010000717,28.24876360001508,29.183340199990198,29.183340199990198,29.2498013000004,32.5172867999936,y,1,3.3327514000120573,None,,,,,,,,,,,,,,,,,,,,,,,,,,p5,001,2025-11-21_00h29.38.175,emotional stroop,,2025.1.1,60.24074611705658,2025-11-21 00h29.54.473473 +0530,
feed,red,r,neutral_per,1,1,0,r,1,1.3538920000137296,None,,0,1,1,36,,,,,,,,,32.533011499996064,,,,,,,,,32.52151190000586,32.533011499996064,33.51659819998895,33.51659819998895,33.53308090000064,34.884608199994545,r,1,1.3538920000137296,None,,,,,,,,,,,,,,,,,,,,,,,,,,p5,001,2025-11-21_00h29.38.175,emotional stroop,,2025.1.1,60.24074611705658,2025-11-21 00h29.54.473473 +0530,
mop,yellow,y,neutral_per,2,2,0,y,1,1.3545543000218458,None,,0,2,2,11,,,,,,,,,34.899877499992726,,,,,,,,,34.88839320000261,34.899877499992726,35.90096269999049,35.90096269999049,35.90096269999049,37.26704760000575,y,1,1.3545543000218458,None,,,,,,,,,,,,,,,,,,,,,,,,,,p5,001,2025-11-21_00h29.38.175,emotional stroop,,2025.1.1,60.24074611705658,2025-11-21 00h29.54.473473 +0530,
size,yellow,y,neutral_per,3,3,0,y,1,1.1922572000185028,None,,0,3,3,23,,,,,,,,,37.28302440000698,,,,,,,,,37.277438299992355,37.28302440000698,38.266477099998156,38.266477099998156,38.283176800003275,39.46790419999161,y,1,1.1922572000185028,None,,,,,,,,,,,,,,,,,,,,,,,,,,p5,001,2025-11-21_00h29.38.175,emotional stroop,,2025.1.1,60.24074611705658,2025-11-21 00h29.54.473473 +0530,
bed,red,r,neutral_per,4,4,0,r,1,1.0432875999831595,None,,0,4,4,4,,,,,,,,,39.483729100000346,,,,,,,,,39.47330320000765,39.483729100000346,40.482946300006006,40.482946300006006,40.482946300006006,41.533370999997715,r,1,1.0432875999831595,None,,,,,,,,,,,,,,,,,,,,,,,,,,p5,001,2025-11-21_00h29.38.175,emotional stroop,,2025.1.1,60.24074611705658,2025-11-21 00h29.54.473473 +0530,
lady,pink,p,neutral_per,5,5,0,r,0,3.692026700009592,None,,0,5,5,34,,,,,,,,,41.54980790000991,,,,,,,,,41.53738190000877,41.54980790000991,42.53350739998859,42.53350739998859,42.54988370000501,46.233892899996135,r,0,3.692026700009592,None,,,,,,,,,,,,,,,,,,,,,,,,,,p5,001,2025-11-21_00h29.38.175,emotional stroop,,2025.1.1,60.24074611705658,2025-11-21 00h29.54.473473 +0530,
ring,blue,b,neutral_per,6,6,0,b,1,1.8641795000003185,None,,0,6,6,29,,,,,,,,,46.24997450000956,,,,,,,,,46.23930690000998,46.24997450000956,47.233033800002886,47.233033800002886,47.24977900000522,49.10032590001356,b,1,1.8641795000003185,None,,,,,,,,,,,,,,,,,,,,,,,,,,p5,001,2025-11-21_00h29.38.175,emotional stroop,,2025.1.1,60.24074611705658,2025-11-21 00h29.54.473473 +0530,
sum,pink,p,neutral_per,7,7,0,r,0,2.8954056999937166,None,,0,7,7,6,,,,,,,,,49.116425299987895,,,,,,,,,49.10319600001094,49.116425299987895,50.09994360001292,50.09994360001292,50.11631660000421,53.000288500013994,r,0,2.8954056999937166,None,,,,,,,,,,,,,,,,,,,,,,,,,,p5,001,2025-11-21_00h29.38.175,emotional stroop,,2025.1.1,60.24074611705658,2025-11-21 00h29.54.473473 +0530,
core,blue,b,neutral_per,8,8,0,b,1,1.4607441000116523,None,,0,8,8,37,,,,,,,,,53.0164003999962,,,,,,,,,53.002660600002855,53.0164003999962,53.99980859999778,53.99980859999778,54.016441599989776,55.46712950000074,b,1,1.4607441000116523,None,,,,,,,,,,,,,,,,,,,,,,,,,,p5,001,2025-11-21_00h29.38.175,emotional stroop,,2025.1.1,60.24074611705658,2025-11-21 00h29.54.473473 +0530,
