thisN	key_resp.corr	key_resp.rt		seq	random 
189	1	0.8498743		0.8498743	0.5644032
190	1	0.6873681		0.6873681	0.5104443
191	1	1.3348809		1.3348809	0.6788338
192	1	0.913533		0.913533	0.9690974
193	1	0.8002479		0.8002479	0.5340636
194	1	2.1812286		2.1812286	0.7528958
195	1	1.2760599		1.2760599	0.5958961
196	1	0.7603012		0.7603012	0.7300671
197	1	0.7054921		0.7054921	0.5226003
198	1	0.9699177		0.9699177	0.9947843
199	1	0.6962615		0.6962615	0.9469909
0	1	1.5523636			
1	1	1.6687498		0.752206334	0.89337166
2	1	0.5614099			
3	1	0.6330143			
4	1	0.9612552			
5	1	1.4289239			
6	1	0.8019383			
7	1	0.9790983			
8	1	0.8070161			
9	1	0.6789921			
10	1	0.8341247			
11	1	1.1482287			
12	1	1.1851854			
13	1	1.0259348			
14	1	0.9714135			
15	1	1.1187931			
16	1	1.0385083			
17	1	0.9002515			
18	1	1.6812716			
19	1	0.5377225			
20	1	1.0174664			
21	1	0.5842819			
22	1	0.7873076			
23	1	0.8932769			
24	1	1.0720721			
25	1	0.8497584			
26	1	0.7329668			
27	1	0.9034336			
28	1	0.785711			
29	1	0.8446545			
30	1	1.0314841			
31	1	0.8626039			
32	1	1.8255189			
33	1	0.9409549			
34	1	0.7658626			
35	1	2.2976217			
36	1	1.1710767			
37	1	1.1202898			
38	1	1.0606911			
39	1	1.6898591			
40	1	0.5862851			
41	1	0.6943702			
42	1	0.8352219			
43	1	0.7758445			
44	1	3.192156			
45	1	0.5523153			
46	1	0.9843355			
47	1	0.7057018			
48	1	1.0715876			
49	1	1.0214876			
50	1	0.7736131			
51	1	0.5887192			
52	1	0.9023007			
53	1	0.7731378			
54	1	0.7031602			
55	1	0.6407692			
56	1	0.7450157			
57	1	0.8924986			
58	1	0.9337078			
59	1	0.789814			
60	1	0.8938795			
61	1	1.1886484			
62	1	0.935951			
63	1	0.8295277			
64	1	0.461489			
65	1	0.711868			
66	1	0.8376065			
67	1	1.1254372			
68	1	0.8787424			
69	1	0.8458625			
70	1	1.114688			
71	1	0.7874339			
72	1	0.6342123			
73	1	1.6788608			
74	1	1.3549084			
75	1	1.0890758			
76	1	0.8490508			
77	1	0.7456982			
78	1	1.2385861			
79	1	0.7599045			
80	1	1.5070648			
81	1	0.6113616			
82	1	0.8932582			
83	1	0.5390483			
84	1	0.8910006			
85	1	0.7671366			
86	1	1.0497033			
87	1	0.629417			
88	1	0.5802841			
89	1	0.9157236			
90	1	1.1489614			
91	1	1.032288			
92	1	0.8101943			
93	1	0.7811258			
94	1	0.8376229			
95	1	0.9017457			
96	1	0.6704189			
97	1	0.8549747			
98	1	0.9463096			
99	1	0.6968701			
100	1	0.6146858			
101	1	0.8564829			
102	1	0.9888321			
103	1	0.8543829			
104	1	1.1262487			
105	1	0.777657			
106	1	0.71757			
107	1	0.8064925			
108	1	0.7608422			
109	1	0.6522546			
110	1	0.8496803			
111	1	1.2843281			
112	1	0.6646543			
113	1	0.7672397			
114	1	0.9799982			
115	1	0.6539354			
116	1	0.8924864			
117	1	0.5452846			
118	1	0.7473198			
119	1	0.7363508			
120	1	0.992788			
121	1	0.7353782			
122	1	0.6146			
123	1	1.1560385			
124	1	0.7496339			
125	1	0.6241797			
126	1	1.5836275			
127	1	0.8329566			
128	1	0.7725254			
129	1	0.652874			
130	1	1.0369451			
131	1	0.8655145			
132	1	0.7297754			
133	1	0.9237491			
134	1	1.0136873			
135	1	1.1338712			
136	1	0.7664134			
137	1	0.81749			
138	1	1.293442			
139	1	0.5473181			
140	1	0.7597151			
141	1	0.6441495			
142	1	0.7587653			
143	1	0.4895029			
144	1	1.1507102			
145	1	0.841994			
146	1	0.7294372			
147	1	0.9579679			
148	1	0.9692778			
149	1	0.9131581			
150	1	1.3922456			
151	1	0.9333012			
152	1	1.032213			
153	1	0.7061086			
154	1	0.8610192			
155	1	0.58285			
156	1	0.974735			
157	1	0.9681283			
158	1	1.5725824			
159	1	0.7429808			
160	1	0.542114			
161	1	0.9019257			
162	1	0.7882867			
163	1	1.0279285			
164	1	0.705891			
165	1	0.6377794			
166	1	0.4445164			
167	1	0.46501			
168	1	1.236897			
169	1	1.0264957			
170	1	0.5292545			
171	1	0.9576967			
172	1	0.8913451			
173	1	0.9533473			
174	1	0.8462529			
175	1	0.8243351			
176	1	0.5423301			
177	1	0.7547356			
178	1	0.5765007			
179	1	0.8043257			
180	1	0.5730692			
181	1	0.5011397			
182	1	0.8386498			
183	1	0.9762843			
184	1	1.5830379			
185	1	0.6979655			
186	1	0.6919451			
187	1	0.7360403			
188	1	0.7797092			
189	1	0.5644032			
190	1	0.5104443			
191	1	0.6788338			
192	1	0.9690974			
193	1	0.5340636			
194	1	0.7528958			
195	1	0.5958961			
196	1	0.7300671			
197	1	0.5226003			
198	1	0.9947843			
199	1	0.9469909			
