Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Refence,Old_new,text_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,Testtext.started,text_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.text_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,Testtext.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Chart,0,0,0,2.7518518518518515,2.8765803000424057,,,,,,,,,,,,0,0,0,6,,,,,0.08366460003890097,,0.06650020007509738,0.08366460003890097,0.08366460003890097,2.9590855999849737,2.7518518518518515,2.8765803000424057,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
Laptop,1,1,0,2.1555555555555554,2.3618939999723807,,,,,,,,,,,,0,1,1,5,,,,,2.9754473000066355,,2.9647268999833614,2.9754473000066355,2.9754473000066355,5.342293900088407,2.1555555555555554,2.3618939999723807,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
Police,2,2,0,2.1555555555555554,1.6955560001078993,,,,,,,,,,,,0,2,2,12,,,,,5.357900300063193,,5.347213900065981,5.357900300063193,5.357900300063193,7.059520700015128,2.1555555555555554,1.6955560001078993,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
book,3,3,0,2.1555555555555554,0.9965616000117734,,,,,,,,,,,,0,3,3,0,,,,,7.0744227999821305,,7.063060000073165,7.0744227999821305,7.0744227999821305,8.077092400053516,2.1555555555555554,0.9965616000117734,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
Keys,4,4,0,2.1555555555555554,0.9425058999331668,,,,,,,,,,,,0,4,4,13,,,,,8.090898800059222,,8.083354600006714,8.090898800059222,8.090898800059222,9.04210800002329,2.1555555555555554,0.9425058999331668,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
Cruise,5,5,0,4.266666666666667,2.0654864000389352,,,,,,,,,,,,0,5,5,11,,,,,9.058100100024603,,9.04432430001907,9.058100100024603,9.058100100024603,11.125671299989335,4.266666666666667,2.0654864000389352,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
mouse,6,6,0,2.314814814814815,2.2987533999839798,,,,,,,,,,,,0,6,6,8,,,,,11.141067699994892,,11.129331600037403,11.141067699994892,11.141067699994892,13.442795900045894,2.314814814814815,2.2987533999839798,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
T-shirt,7,7,0,2.237037037037037,1.34240329999011,,,,,,,,,,,,0,7,7,7,,,,,13.457884700037539,,13.450213000061922,13.457884700037539,13.457884700037539,14.809104699990712,2.237037037037037,1.34240329999011,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
board,8,8,0,4.385185185185185,2.09278850001283,,,,,,,,,,,,0,8,8,4,,,,,14.82534860004671,,14.816562500083819,14.82534860004671,14.82534860004671,16.925492600072175,4.385185185185185,2.09278850001283,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
marble,9,9,0,4.392592592592592,1.4971704999916255,,,,,,,,,,,,0,9,9,3,,,,,16.941066900035366,,16.928823600057513,16.941066900035366,16.941066900035366,18.442253399989568,4.392592592592592,1.4971704999916255,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
Poster,10,10,0,4.392592592592592,0.9967457000166178,,,,,,,,,,,,0,10,10,14,,,,,18.457960100029595,,18.445984999998473,18.457960100029595,18.457960100029595,19.459051600075327,4.392592592592592,0.9967457000166178,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
cushion,11,11,0,4.392592592592592,1.9627201999537647,,,,,,,,,,,,0,11,11,1,,,,,19.474442500039004,,19.464686900028028,19.474442500039004,19.474442500039004,21.442460100050084,4.392592592592592,1.9627201999537647,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
Case,12,12,0,4.392592592592592,1.263124900055118,,,,,,,,,,,,0,12,12,10,,,,,21.457887200056575,,21.447019300074317,21.457887200056575,21.457887200056575,22.725337799987756,4.392592592592592,1.263124900055118,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
Pastry,13,13,0,4.392592592592592,1.5141542999772355,,,,,,,,,,,,0,13,13,9,,,,,22.740892800036818,,22.72848160006106,22.740892800036818,22.740892800036818,24.258820399991237,4.392592592592592,1.5141542999772355,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
phone,14,14,0,1.6037037037037036,1.8476307999808341,,,,,,,,,,,,0,14,14,2,,,,,24.274528000038117,,24.26242030004505,24.274528000038117,24.274528000038117,26.12624330003746,1.6037037037037036,1.8476307999808341,,,,,,,,,,,,,,,,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
,0,0,0,,,P_st_r,Poster,Old,pastry,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[8.700997600099072],['submit_text'],,,,,0,0,0,9,26.149177800049074,,,,,,,,26.141512500005774,26.149177800049074,26.149177800049074,26.149177800049074,0.015249700052663684,34.84278000006452,pastry,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[8.700997600099072],['submit_text'],,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
,1,1,0,,,P_as_tr_,Pastry,Old,poster,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[4.828048099996522],['submit_text'],,,,,0,1,1,4,34.857961300062016,,,,,,,,34.847274900064804,34.857961300062016,34.857961300062016,34.857961300062016,0.004346500034444034,39.675613600062206,poster,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[4.828048099996522],['submit_text'],,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
,2,2,0,,,ta_l_,Table,new,table,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[5.961338000022806],['submit_text'],,,,,0,2,2,15,39.6912192000309,,,,,,,,39.68107000004966,39.6912192000309,39.6912192000309,39.6912192000309,0.005324300029315054,45.642737700021826,table,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[5.961338000022806],['submit_text'],,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
,3,3,0,,,l_pt_p,Laptop,Old,laptop,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[3.745815800037235],['submit_text'],,,,,0,3,3,0,45.65782070008572,,,,,,,,45.64642170001753,45.65782070008572,45.65782070008572,45.65782070008572,0.0035500000230968,49.39251260005403,laptop,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[3.745815800037235],['submit_text'],,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
,4,4,0,,,_a_ble_,Marble,Old,marble,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[5.929680399945937],['submit_text'],,,,,0,4,4,11,49.40783899999224,,,,,,,,49.39575290004723,49.40783899999224,49.40783899999224,49.40783899999224,0.0031430000672116876,55.325761300046,marble,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[5.929680399945937],['submit_text'],,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
,5,5,0,,,P_li_e,Police,Old,police,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[5.379950199974701],['submit_text'],,,,,0,5,5,7,55.34110800002236,,,,,,,,55.32895680004731,55.34110800002236,55.34110800002236,55.34110800002236,0.003064800053834915,60.70923889998812,police,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[5.379950199974701],['submit_text'],,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
,6,6,0,,,c_s_,Case,Old,case,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[3.8936124000465497],['submit_text'],,,,,0,6,6,5,60.72517810005229,,,,,,,,60.715034699998796,60.72517810005229,60.72517810005229,60.72517810005229,0.00560629996471107,64.60897739999928,case,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[3.8936124000465497],['submit_text'],,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
,7,7,0,,,_ru_is_,Cruise,Old,cruise,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[12.147973299957812],['submit_text'],,,,,0,7,7,6,64.62453100003768,,,,,,,,64.61247370007914,64.62453100003768,64.62453100003768,64.62453100003768,0.003410500008612871,76.7609598999843,cruise,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[12.147973299957812],['submit_text'],74.62468830007128,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
,8,8,0,,,bo_t_e,Bottle,new,bottle,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[5.225209399941377],['submit_text'],,,,,0,8,8,18,76.77952970005572,,,,,,,,76.76738269999623,76.77952970005572,76.77952970005572,76.77952970005572,0.006084699998609722,81.99313570000231,bottle,[np.float64(-0.0712962962962963)],[np.float64(-0.3101851851851852)],[1],[0],[0],[5.225209399941377],['submit_text'],,p2,001,2025-10-10_23h17.16.052,word priming,,2025.1.1,59.921861869157986,2025-10-10 23h17.51.971598 +0530,
