thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.09351851851851851)],[np.float64(-0.3055555555555556)],[1],[0],[0],[1.7076124001760036],['target'],0,0,0,0,0.05296689993701875,,5,0.03850489994511008,0.05296689993701875,0.05296689993701875,0.03854320012032986,1.7461616999935359,[np.float64(-0.09351851851851851)],[np.float64(-0.3055555555555556)],[1],[0],[0],[1.7076124001760036],['target'],p4,001,2025-09-30_19h57.51.135,visual search,,2025.1.1,59.99775605286802,2025-09-30 19h58.17.614325 +0530,
1,0,1,[np.float64(0.3925925925925926)],[np.float64(-0.12685185185185185)],[1],[0],[0],[1.6833309999201447],['target'],1,0,1,0,1.7653433999512345,,5,1.7582604000344872,1.7653433999512345,1.7653433999512345,0.011999599868431687,3.441693600034341,[np.float64(0.3925925925925926)],[np.float64(-0.12685185185185185)],[1],[0],[0],[1.6833309999201447],['target'],p4,001,2025-09-30_19h57.51.135,visual search,,2025.1.1,59.99775605286802,2025-09-30 19h58.17.614325 +0530,
2,0,2,[np.float64(-0.24259259259259258)],[np.float64(-0.3685185185185185)],[1],[0],[0],[2.2580738998949528],['target'],2,0,2,0,3.499864400131628,,10,3.483520100126043,3.499864400131628,3.499864400131628,0.04165220004506409,5.741707399953157,[np.float64(-0.24259259259259258)],[np.float64(-0.3685185185185185)],[1],[0],[0],[2.2580738998949528],['target'],p4,001,2025-09-30_19h57.51.135,visual search,,2025.1.1,59.99775605286802,2025-09-30 19h58.17.614325 +0530,
3,0,3,[np.float64(-0.44537037037037036)],[np.float64(0.3490740740740741)],[1],[0],[0],[1.7979850000701845],['target'],3,0,3,0,5.769167900085449,,5,5.76068380009383,5.769167900085449,5.769167900085449,0.018705699825659394,7.558819999918342,[np.float64(-0.44537037037037036)],[np.float64(0.3490740740740741)],[1],[0],[0],[1.7979850000701845],['target'],p4,001,2025-09-30_19h57.51.135,visual search,,2025.1.1,59.99775605286802,2025-09-30 19h58.17.614325 +0530,
4,0,4,[np.float64(-0.47685185185185186)],[np.float64(0.4462962962962963)],[1],[0],[0],[1.0003531998954713],['target'],4,0,4,0,7.579230000032112,,5,7.573992199962959,7.579230000032112,7.579230000032112,0.014892500126734376,8.574431899935007,[np.float64(-0.47685185185185186)],[np.float64(0.4462962962962963)],[1],[0],[0],[1.0003531998954713],['target'],p4,001,2025-09-30_19h57.51.135,visual search,,2025.1.1,59.99775605286802,2025-09-30 19h58.17.614325 +0530,
5,0,5,[np.float64(-0.4398148148148148)],[np.float64(-0.27870370370370373)],[1],[0],[0],[2.218388200039044],['target'],5,0,5,0,8.597132799914107,,5,8.589512099977583,8.597132799914107,8.597132799914107,0.014924000017344952,10.808011499932036,[np.float64(-0.4398148148148148)],[np.float64(-0.27870370370370373)],[1],[0],[0],[2.218388200039044],['target'],p4,001,2025-09-30_19h57.51.135,visual search,,2025.1.1,59.99775605286802,2025-09-30 19h58.17.614325 +0530,
6,0,6,[np.float64(-0.020370370370370372)],[np.float64(0.14814814814814814)],[1],[0],[0],[1.3117843000218272],['target'],6,0,6,0,10.837473599938676,,5,10.829636000096798,10.837473599938676,10.837473599938676,0.021430199965834618,12.141495499992743,[np.float64(-0.020370370370370372)],[np.float64(0.14814814814814814)],[1],[0],[0],[1.3117843000218272],['target'],p4,001,2025-09-30_19h57.51.135,visual search,,2025.1.1,59.99775605286802,2025-09-30 19h58.17.614325 +0530,
7,0,7,[np.float64(-0.014814814814814815)],[np.float64(0.4777777777777778)],[1],[0],[0],[1.9840993999969214],['target'],7,0,7,0,12.165246499935165,,5,12.158119699917734,12.165246499935165,12.165246499935165,0.016475599957630038,14.14229890005663,[np.float64(-0.014814814814814815)],[np.float64(0.4777777777777778)],[1],[0],[0],[1.9840993999969214],['target'],p4,001,2025-09-30_19h57.51.135,visual search,,2025.1.1,59.99775605286802,2025-09-30 19h58.17.614325 +0530,
8,0,8,[np.float64(-0.36574074074074076)],[np.float64(-0.3768518518518518)],[1],[0],[0],[2.0977576998993754],['target'],8,0,8,0,14.232985600130633,,5,14.227168000070378,14.232985600130633,14.232985600130633,0.08464349992573261,16.325012099929154,[np.float64(-0.36574074074074076)],[np.float64(-0.3768518518518518)],[1],[0],[0],[2.0977576998993754],['target'],p4,001,2025-09-30_19h57.51.135,visual search,,2025.1.1,59.99775605286802,2025-09-30 19h58.17.614325 +0530,
9,0,9,[np.float64(-0.48703703703703705)],[np.float64(0.20092592592592592)],[1],[0],[0],[2.048947599949315],['target'],9,0,9,0,16.34873820003122,,5,16.34162799990736,16.34873820003122,16.34873820003122,0.016413100063800812,18.39067370002158,[np.float64(-0.48703703703703705)],[np.float64(0.20092592592592592)],[1],[0],[0],[2.048947599949315],['target'],p4,001,2025-09-30_19h57.51.135,visual search,,2025.1.1,59.99775605286802,2025-09-30 19h58.17.614325 +0530,
