thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.175)],[np.float64(-0.4462962962962963)],[1],[0],[0],[3.0221009000670165],['target'],0,0,0,0,0.05584909999743104,,10,0.03884589998051524,0.05584909999743104,0.05584909999743104,0.03886420000344515,3.061005799798295,[np.float64(-0.175)],[np.float64(-0.4462962962962963)],[1],[0],[0],[3.0221009000670165],['target'],p2,001,2025-09-30_19h11.00.401,visual search,,2025.1.1,60.04523807732325,2025-09-30 19h12.42.156922 +0530,
1,0,1,[np.float64(0.2222222222222222)],[np.float64(0.12777777777777777)],[1],[0],[0],[2.326027400093153],['target'],1,0,1,0,3.093310199910775,,10,3.0818474998231977,3.093310199910775,3.093310199910775,0.020695900078862906,5.408038799883798,[np.float64(0.2222222222222222)],[np.float64(0.12777777777777777)],[1],[0],[0],[2.326027400093153],['target'],p2,001,2025-09-30_19h11.00.401,visual search,,2025.1.1,60.04523807732325,2025-09-30 19h12.42.156922 +0530,
2,0,2,[np.float64(0.15925925925925927)],[np.float64(0.44351851851851853)],[1],[0],[0],[2.091034200042486],['target'],2,0,2,0,5.441221999935806,,5,5.43225139984861,5.441221999935806,5.441221999935806,0.023930200142785907,7.523422099882737,[np.float64(0.15925925925925927)],[np.float64(0.44351851851851853)],[1],[0],[0],[2.091034200042486],['target'],p2,001,2025-09-30_19h11.00.401,visual search,,2025.1.1,60.04523807732325,2025-09-30 19h12.42.156922 +0530,
3,0,3,[np.float64(-0.3037037037037037)],[np.float64(0.1425925925925926)],[1],[0],[0],[1.581482799956575],['target'],3,0,3,0,7.565476599847898,,10,7.558203699998558,7.565476599847898,7.565476599847898,0.0344263999722898,9.139824599958956,[np.float64(-0.3037037037037037)],[np.float64(0.1425925925925926)],[1],[0],[0],[1.581482799956575],['target'],p2,001,2025-09-30_19h11.00.401,visual search,,2025.1.1,60.04523807732325,2025-09-30 19h12.42.156922 +0530,
4,0,4,[np.float64(0.13333333333333333)],[np.float64(-0.40555555555555556)],[1],[0],[0],[2.162513699848205],['target'],4,0,4,0,9.191997299902141,,10,9.176836999831721,9.191997299902141,9.191997299902141,0.036800799891352654,11.339387699961662,[np.float64(0.13333333333333333)],[np.float64(-0.40555555555555556)],[1],[0],[0],[2.162513699848205],['target'],p2,001,2025-09-30_19h11.00.401,visual search,,2025.1.1,60.04523807732325,2025-09-30 19h12.42.156922 +0530,
5,0,5,[np.float64(-0.13333333333333333)],[np.float64(-0.009259259259259259)],[1],[0],[0],[1.4403593998868018],['target'],5,0,5,0,11.35654819989577,,5,11.35009009996429,11.35654819989577,11.35654819989577,0.01057559996843338,12.79061199980788,[np.float64(-0.13333333333333333)],[np.float64(-0.009259259259259259)],[1],[0],[0],[1.4403593998868018],['target'],p2,001,2025-09-30_19h11.00.401,visual search,,2025.1.1,60.04523807732325,2025-09-30 19h12.42.156922 +0530,
6,0,6,[np.float64(-0.3)],[np.float64(0.14166666666666666)],[1],[0],[0],[1.3408776998985559],['target'],6,0,6,0,12.841877499828115,,10,12.832394699798897,12.841877499828115,12.841877499828115,0.04140939982607961,14.173359999898821,[np.float64(-0.3)],[np.float64(0.14166666666666666)],[1],[0],[0],[1.3408776998985559],['target'],p2,001,2025-09-30_19h11.00.401,visual search,,2025.1.1,60.04523807732325,2025-09-30 19h12.42.156922 +0530,
7,0,7,[np.float64(-0.008333333333333333)],[np.float64(-0.1)],[1],[0],[0],[1.8224714000243694],['target'],7,0,7,0,14.210933999856934,,10,14.200548899825662,14.210933999856934,14.210933999856934,0.027005800046026707,16.02314840001054,[np.float64(-0.008333333333333333)],[np.float64(-0.1)],[1],[0],[0],[1.8224714000243694],['target'],p2,001,2025-09-30_19h11.00.401,visual search,,2025.1.1,60.04523807732325,2025-09-30 19h12.42.156922 +0530,
8,0,8,[np.float64(-0.375)],[np.float64(-0.39351851851851855)],[1],[0],[0],[3.579468799987808],['target'],8,0,8,0,16.05040239985101,,5,16.04420969984494,16.05040239985101,16.05040239985101,0.020576799986883998,19.623816499952227,[np.float64(-0.375)],[np.float64(-0.39351851851851855)],[1],[0],[0],[3.579468799987808],['target'],p2,001,2025-09-30_19h11.00.401,visual search,,2025.1.1,60.04523807732325,2025-09-30 19h12.42.156922 +0530,
9,0,9,[np.float64(-0.17777777777777778)],[np.float64(0.06111111111111111)],[1],[0],[0],[1.5592244998551905],['target'],9,0,9,0,19.655263599939644,,5,19.64775519981049,19.655263599939644,19.655263599939644,0.0237489000428468,21.207069099880755,[np.float64(-0.17777777777777778)],[np.float64(0.06111111111111111)],[1],[0],[0],[1.5592244998551905],['target'],p2,001,2025-09-30_19h11.00.401,visual search,,2025.1.1,60.04523807732325,2025-09-30 19h12.42.156922 +0530,
