reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,t,0.4416298000141978,None,0,0,0,5,0.0974220999632962,,0.09487649996299297,0.0974220999632962,1.0131121999584138,1.0131121999584138,1.0966444999794476,1.4783828999497928,t,0.4416298000141978,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
49,60,89,1,1,0,t,0.527120599988848,None,0,1,1,4,1.4898623999906704,,1.488170899974648,1.4898623999906704,2.479961099976208,2.479961099976208,2.4967438000021502,3.0140839999658056,t,0.527120599988848,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
92,97,225,2,2,0,t,0.7529045999981463,None,0,2,2,8,3.0299650999950245,,3.0223671999992803,3.0299650999950245,4.013124799996149,4.013124799996149,4.0299146999605,4.781856899964623,t,0.7529045999981463,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
100,105,260,3,3,0,t,1.4778913999907672,None,0,3,3,9,4.796801799966488,,4.786411699955352,4.796801799966488,5.796608099946752,5.796608099946752,5.796608099946752,7.28032149997307,t,1.4778913999907672,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
11,30,7,4,4,0,l,0.7617154000326991,None,0,4,4,0,7.296492599998601,,7.285793099959847,7.296492599998601,8.28010449995054,8.28010449995054,8.297219899948686,9.046979099977762,l,0.7617154000326991,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
27,50,21,5,5,0,l,0.9151441000285558,None,0,5,5,2,9.063449699955527,,9.051307199988514,9.063449699955527,10.047789599979296,10.047789599979296,10.06357569998363,10.963886299985461,l,0.9151441000285558,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
15,35,13,6,6,0,l,0.5369056999916211,None,0,6,6,1,10.98000999999931,,10.966455699992366,10.98000999999931,11.96327469998505,11.96327469998505,11.980146699992474,12.51417079998646,l,0.5369056999916211,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
78,80,162,7,7,0,t,0.7369053000002168,None,0,7,7,6,12.530047099979129,,12.51717229996575,12.530047099979129,13.514310700003989,13.514310700003989,13.531056299980264,14.264693599950988,t,0.7369053000002168,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
85,90,190,8,8,0,t,0.5621424000128172,None,0,8,8,7,14.280336799973156,,14.267286099959165,14.280336799973156,15.280146799981594,15.280146799981594,15.280146799981594,15.84760619996814,t,0.5621424000128172,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
40,55,62,9,9,0,t,0.6561726999934763,None,0,9,9,3,15.864454799972009,,15.859346899960656,15.864454799972009,16.863141099980567,16.863141099980567,16.863141099980567,17.530652499990538,t,0.6561726999934763,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
15,35,13,10,0,1,l,0.7610940000158735,None,1,0,10,1,17.54661209997721,,17.536281599954236,17.54661209997721,18.530214399972465,18.530214399972465,18.54722299997229,19.297302999999374,l,0.7610940000158735,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
67,75,119,11,1,1,t,0.7512392000062391,None,1,1,11,5,19.313074399949983,,19.300648599979468,19.313074399949983,20.296775299997535,20.296775299997535,20.314269799971953,21.063677899946924,t,0.7512392000062391,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
78,80,162,12,2,1,t,0.5999362000147812,None,1,2,12,6,21.079829599999357,,21.067498499993235,21.079829599999357,22.063107199966908,22.063107199966908,22.080728199973237,22.66396509995684,t,0.5999362000147812,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
100,105,260,13,3,1,t,0.6774643000098877,None,1,3,13,9,22.68006509996485,,22.669008199998643,22.68006509996485,23.663857499952428,23.663857499952428,23.680189299979247,24.347561899980064,t,0.6774643000098877,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
11,30,7,14,4,1,l,0.724828600010369,None,1,4,14,0,24.3630959999864,,24.35751879995223,24.3630959999864,25.36341170000378,25.36341170000378,25.36341170000378,26.09712569997646,l,0.724828600010369,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
49,60,89,15,5,1,t,1.835561299987603,None,1,5,15,4,26.113220300001558,,26.102249799994752,26.113220300001558,27.096672799962107,27.096672799962107,27.113254299969412,28.947428399987984,t,1.835561299987603,None,part4,001,2025-11-02_20h27.06.513,untitled,,2025.1.1,60.03384707513268,2025-11-02 20h27.16.283081 +0530,
