thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.49907407407407406)],[np.float64(0.3648148148148148)],[1],[0],[0],[2.0492050999309868],['target'],0,0,0,0,0.03345569991506636,,5,0.026995599968358874,0.03345569991506636,0.03345569991506636,0.027015900006517768,2.0763000999577343,[np.float64(0.49907407407407406)],[np.float64(0.3648148148148148)],[1],[0],[0],[2.0492050999309868],['target'],p5,001,2025-09-30_20h08.05.226,visual search,,2025.1.1,60.021163441706626,2025-09-30 20h09.00.697271 +0530,
1,0,1,[np.float64(-0.2657407407407407)],[np.float64(-0.4425925925925926)],[1],[0],[0],[1.7412815000861883],['target'],1,0,1,0,2.1094649001024663,,10,2.099176499992609,2.1094649001024663,2.1094649001024663,0.02265199995599687,3.8405730999074876,[np.float64(-0.2657407407407407)],[np.float64(-0.4425925925925926)],[1],[0],[0],[1.7412815000861883],['target'],p5,001,2025-09-30_20h08.05.226,visual search,,2025.1.1,60.021163441706626,2025-09-30 20h09.00.697271 +0530,
2,0,2,[np.float64(-0.4027777777777778)],[np.float64(0.2361111111111111)],[1],[0],[0],[1.8226346999872476],['target'],2,0,2,0,3.880663099931553,,5,3.867961399955675,3.880663099931553,3.880663099931553,0.027151899877935648,5.690730900038034,[np.float64(-0.4027777777777778)],[np.float64(0.2361111111111111)],[1],[0],[0],[1.8226346999872476],['target'],p5,001,2025-09-30_20h08.05.226,visual search,,2025.1.1,60.021163441706626,2025-09-30 20h09.00.697271 +0530,
3,0,3,[np.float64(0.009259259259259259)],[np.float64(0.262037037037037)],[1],[0],[0],[1.2393940000329167],['target'],3,0,3,0,5.72423080005683,,10,5.7169528000522405,5.72423080005683,5.72423080005683,0.025844099931418896,6.9564070999622345,[np.float64(0.009259259259259259)],[np.float64(0.262037037037037)],[1],[0],[0],[1.2393940000329167],['target'],p5,001,2025-09-30_20h08.05.226,visual search,,2025.1.1,60.021163441706626,2025-09-30 20h09.00.697271 +0530,
4,0,4,[np.float64(0.14444444444444443)],[np.float64(-0.1712962962962963)],[1],[0],[0],[1.3591730000916868],[None],4,0,4,0,6.992368800099939,,10,6.980725100031123,6.992368800099939,6.992368800099939,0.02422460005618632,8.339983399957418,[np.float64(0.14444444444444443)],[np.float64(-0.1712962962962963)],[1],[0],[0],[1.3591730000916868],[None],p5,001,2025-09-30_20h08.05.226,visual search,,2025.1.1,60.021163441706626,2025-09-30 20h09.00.697271 +0530,
5,0,5,[np.float64(-0.17407407407407408)],[np.float64(-0.42407407407407405)],[1],[0],[0],[1.6981845998670906],['target'],5,0,5,0,8.367262999992818,,5,8.359238599892706,8.367262999992818,8.367262999992818,0.018993699923157692,10.057537599932402,[np.float64(-0.17407407407407408)],[np.float64(-0.42407407407407405)],[1],[0],[0],[1.6981845998670906],['target'],p5,001,2025-09-30_20h08.05.226,visual search,,2025.1.1,60.021163441706626,2025-09-30 20h09.00.697271 +0530,
6,0,6,[np.float64(0.3685185185185185)],[np.float64(-0.41388888888888886)],[1],[0],[0],[1.8500271001830697],['target'],6,0,6,0,10.097250799881294,,10,10.089811200043187,10.097250799881294,10.097250799881294,0.032039700075984,11.93988940003328,[np.float64(0.3685185185185185)],[np.float64(-0.41388888888888886)],[1],[0],[0],[1.8500271001830697],['target'],p5,001,2025-09-30_20h08.05.226,visual search,,2025.1.1,60.021163441706626,2025-09-30 20h09.00.697271 +0530,
7,0,7,[np.float64(0.44537037037037036)],[np.float64(-0.18333333333333332)],[1],[0],[0],[1.6607731999829412],['target'],7,0,7,0,12.042451899964362,,10,12.031247799983248,12.042451899964362,12.042451899964362,0.09125779988244176,13.692215000046417,[np.float64(0.44537037037037036)],[np.float64(-0.18333333333333332)],[1],[0],[0],[1.6607731999829412],['target'],p5,001,2025-09-30_20h08.05.226,visual search,,2025.1.1,60.021163441706626,2025-09-30 20h09.00.697271 +0530,
8,0,8,[np.float64(-0.12129629629629629)],[np.float64(0.4148148148148148)],[1],[0],[0],[1.4642768998164684],['target'],8,0,8,0,13.738932400010526,,10,13.725654300069436,13.738932400010526,13.738932400010526,0.0329715998377651,15.189987099962309,[np.float64(-0.12129629629629629)],[np.float64(0.4148148148148148)],[1],[0],[0],[1.4642768998164684],['target'],p5,001,2025-09-30_20h08.05.226,visual search,,2025.1.1,60.021163441706626,2025-09-30 20h09.00.697271 +0530,
9,0,9,[np.float64(0.12222222222222222)],[np.float64(-0.4722222222222222)],[1],[0],[0],[2.35649779997766],['target'],9,0,9,0,15.206139199901372,,5,15.20011890004389,15.206139199901372,15.206139199901372,0.01000680006109178,17.556699299952015,[np.float64(0.12222222222222222)],[np.float64(-0.4722222222222222)],[1],[0],[0],[2.35649779997766],['target'],p5,001,2025-09-30_20h08.05.226,visual search,,2025.1.1,60.021163441706626,2025-09-30 20h09.00.697271 +0530,
