Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Refence,Old_new,text_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,Testtext.started,text_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.text_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,Testtext.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Laptop,0,0,0,2.511111111111111,2.089004799956456,,,,,,,,,,,,0,0,0,5,,,,,0.028290299931541085,,0.015013900003395975,0.028290299931541085,0.028290299931541085,2.120364799979143,2.511111111111111,2.089004799956456,,,,,,,,,,,,,,,,p4,001,2025-10-10_23h25.46.168,word priming,,2025.1.1,59.90423705483518,2025-10-10 23h25.57.544284 +0530,
marble,1,1,0,3.477777777777778,1.3264819999458268,,,,,,,,,,,,0,1,1,3,,,,,2.1355427999515086,,2.127116199932061,2.1355427999515086,2.1355427999515086,3.4699051999486983,3.477777777777778,1.3264819999458268,,,,,,,,,,,,,,,,p4,001,2025-10-10_23h25.46.168,word priming,,2025.1.1,59.90423705483518,2025-10-10 23h25.57.544284 +0530,
cushion,2,2,0,2.6222222222222222,1.7288466000463814,,,,,,,,,,,,0,2,2,1,,,,,3.485387299908325,,3.4754300999920815,3.485387299908325,3.485387299908325,5.2201614999212325,2.6222222222222222,1.7288466000463814,,,,,,,,,,,,,,,,p4,001,2025-10-10_23h25.46.168,word priming,,2025.1.1,59.90423705483518,2025-10-10 23h25.57.544284 +0530,
phone,3,3,0,2.6222222222222222,1.6955073000863194,,,,,,,,,,,,0,3,3,2,,,,,5.2355800999794155,,5.224597199936397,5.2355800999794155,5.2355800999794155,6.936767299892381,2.6222222222222222,1.6955073000863194,,,,,,,,,,,,,,,,p4,001,2025-10-10_23h25.46.168,word priming,,2025.1.1,59.90423705483518,2025-10-10 23h25.57.544284 +0530,
Chart,4,4,0,2.6222222222222222,2.129981299978681,,,,,,,,,,,,0,4,4,6,,,,,6.952350899926387,,6.941311899921857,6.952350899926387,6.952350899926387,9.08646649995353,2.6222222222222222,2.129981299978681,,,,,,,,,,,,,,,,p4,001,2025-10-10_23h25.46.168,word priming,,2025.1.1,59.90423705483518,2025-10-10 23h25.57.544284 +0530,
Poster,5,5,0,2.6222222222222222,0.6966911000199616,,,,,,,,,,,,0,5,5,14,,,,,9.10236299992539,,9.091656599892303,9.10236299992539,9.10236299992539,9.803226799936965,2.6222222222222222,0.6966911000199616,,,,,,,,,,,,,,,,p4,001,2025-10-10_23h25.46.168,word priming,,2025.1.1,59.90423705483518,2025-10-10 23h25.57.544284 +0530,
Cruise,6,6,0,4.548148148148148,1.7640652999980375,,,,,,,,,,,,0,6,6,11,,,,,9.818831299897283,,9.806170099996962,9.818831299897283,9.818831299897283,11.586271699983627,4.548148148148148,1.7640652999980375,,,,,,,,,,,,,,,,p4,001,2025-10-10_23h25.46.168,word priming,,2025.1.1,59.90423705483518,2025-10-10 23h25.57.544284 +0530,
board,7,7,0,4.548148148148148,0.6638917999807745,,,,,,,,,,,,0,7,7,4,,,,,11.602282699896023,,11.590335999964736,11.602282699896023,11.602282699896023,12.269683899939992,4.548148148148148,0.6638917999807745,,,,,,,,,,,,,,,,p4,001,2025-10-10_23h25.46.168,word priming,,2025.1.1,59.90423705483518,2025-10-10 23h25.57.544284 +0530,
Keys,8,8,0,4.548148148148148,0.5790617000311613,,,,,,,,,,,,0,8,8,13,,,,,12.28564109990839,,12.275017199921422,12.28564109990839,12.28564109990839,12.869919199962169,4.548148148148148,0.5790617000311613,,,,,,,,,,,,,,,,p4,001,2025-10-10_23h25.46.168,word priming,,2025.1.1,59.90423705483518,2025-10-10 23h25.57.544284 +0530,
Case,9,9,0,2.737037037037037,1.496809000032954,,,,,,,,,,,,0,9,9,10,,,,,12.885700799990445,,12.873275199905038,12.885700799990445,12.885700799990445,14.38646849989891,2.737037037037037,1.496809000032954,,,,,,,,,,,,,,,,p4,001,2025-10-10_23h25.46.168,word priming,,2025.1.1,59.90423705483518,2025-10-10 23h25.57.544284 +0530,
