reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,t,3.127734599998803,None,0,0,0,6,0.04563909998978488,,0.04185129998950288,0.04563909998978488,0.9998706999904243,0.9998706999904243,1.0498762999923201,4.140351599999121,t,3.127734599998803,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
49,60,89,1,1,0,t,1.4540784999990137,None,0,1,1,4,4.149974999992992,,4.144449899991741,4.149974999992992,5.150030199991306,5.150030199991306,5.150030199991306,6.617376900001545,t,1.4540784999990137,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
40,55,62,2,2,0,t,1.0465245000086725,None,0,2,2,3,6.633315699989907,,6.623844599991571,6.633315699989907,7.616917499995907,7.616917499995907,7.633361200001673,8.667356799996924,t,1.0465245000086725,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
11,30,7,3,3,0,l,0.8403874000068754,None,0,3,3,0,8.683243099992978,,8.673987299989676,8.683243099992978,9.666881700002705,9.666881700002705,9.683189599993057,10.51687469999888,l,0.8403874000068754,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
85,90,190,4,4,0,t,3.1678185000055237,None,0,4,4,7,10.533304199998383,,10.519579699990572,10.533304199998383,11.516743699990911,11.516743699990911,11.533381599991117,14.70061239998904,t,3.1678185000055237,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
15,35,13,5,5,0,l,0.8031824999925448,None,0,5,5,1,14.716717899995274,,14.705089399998542,14.716717899995274,15.700363500000094,15.700363500000094,15.716669799992815,16.517099199991208,l,0.8031824999925448,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
92,97,225,6,6,0,t,1.3519697999872733,None,0,6,6,8,16.533419999992475,,16.521435000002384,16.533419999992475,17.51676059998863,17.51676059998863,17.533377899992047,18.88389859999006,t,1.3519697999872733,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
100,105,260,7,7,0,t,2.4514526999992086,None,0,7,7,9,18.89998229999037,,18.88794329999655,18.89998229999037,19.883535699991626,19.883535699991626,19.90013480000198,22.350578699988546,t,2.4514526999992086,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
67,75,119,8,8,0,t,2.1371733999985736,None,0,8,8,5,22.36664359999122,,22.354310399998212,22.36664359999122,23.350013699993724,23.350013699993724,23.36666129999503,25.500445999990916,t,2.1371733999985736,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
27,50,21,9,9,0,l,4.244972100001178,None,0,9,9,2,25.516550399988773,,25.50259509999887,25.516550399988773,26.500362899998436,26.500362899998436,26.516549799998756,30.75027219999174,l,4.244972100001178,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
78,80,162,10,0,1,t,2.5122843999997713,None,1,0,10,6,30.766713499993784,,30.75467719999142,30.766713499993784,31.75014819999342,31.75014819999342,31.766781999991508,34.267106499988586,t,2.5122843999997713,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
15,35,13,11,1,1,l,4.884846300003119,None,1,1,11,1,34.2834351999918,,34.26955679999082,34.2834351999918,35.26712839999527,35.26712839999527,35.28330860000278,40.16725269999006,l,4.884846300003119,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
85,90,190,12,2,1,t,1.764802800011239,None,1,2,12,7,40.18342780000239,,40.172750899990206,40.18342780000239,41.16659989999607,41.16659989999607,41.18324440000288,42.93349509999098,t,1.764802800011239,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
27,50,21,13,3,1,l,1.28300749999471,None,1,3,13,2,42.95014179999998,,42.936474599991925,42.95014179999998,43.933514799995464,43.933514799995464,43.95045679999748,45.233671900001355,l,1.28300749999471,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
11,30,7,14,4,1,l,1.1942272000014782,None,1,4,14,0,45.25001129999873,,45.23732229998859,45.25001129999873,46.23327869999048,46.23327869999048,46.25005029999011,47.43368950000149,l,1.1942272000014782,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
49,60,89,15,5,1,t,1.0399978999921586,None,1,5,15,4,47.44982439999876,,47.43687949999003,47.44982439999876,48.43348269999842,48.43348269999842,48.449983400001656,49.48404719999235,t,1.0399978999921586,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
92,97,225,16,6,1,t,1.0258548999991035,None,1,6,16,8,49.49999659998866,,49.489561099995626,49.49999659998866,50.48330859999987,50.48330859999987,50.500061899991124,51.51758990000235,t,1.0258548999991035,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
67,75,119,17,7,1,t,1.3634698999958346,None,1,7,17,5,51.533365199997206,,51.522070399994846,51.533365199997206,52.51678489999904,52.51678489999904,52.53345289999561,53.88386439999158,t,1.3634698999958346,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
100,105,260,18,8,1,t,2.2567913999955636,None,1,8,18,9,53.93486110000231,,53.93307579999964,53.93486110000231,54.88347590000194,54.88347590000194,54.94980439999199,57.15027489999193,t,2.2567913999955636,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
40,55,62,19,9,1,t,1.706653400004143,None,1,9,19,3,57.16657770000165,,57.15259359999618,57.16657770000165,58.15003469999647,58.15003469999647,58.16658029999235,59.8669319999899,t,1.706653400004143,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
92,97,225,20,0,2,t,0.9509037000098033,None,2,0,20,8,59.88341429999855,,59.87009179999586,59.88341429999855,60.86676129999978,60.86676129999978,60.883356299993466,61.83433449998847,t,0.9509037000098033,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
11,30,7,21,1,2,l,0.7046637000021292,None,2,1,21,0,61.8501852999907,,61.838685499998974,61.8501852999907,62.850053799993475,62.850053799993475,62.850053799993475,63.567380599997705,l,0.7046637000021292,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
15,35,13,22,2,2,l,0.6314947000064421,None,2,2,22,1,63.58325199999672,,63.56965889999992,63.58325199999672,64.56696339999326,64.56696339999326,64.58343279999099,65.20016379999288,l,0.6314947000064421,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
85,90,190,23,3,2,t,2.2847100000071805,None,2,3,23,7,65.21649039999465,,65.2023130000016,65.21649039999465,66.20001289999345,66.20001289999345,66.21653520000109,68.50044379998872,t,2.2847100000071805,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
49,60,89,24,4,2,t,1.2330518999951892,None,2,4,24,4,68.51704269999755,,68.50403699999151,68.51704269999755,69.49995630000194,69.49995630000194,69.51691019999271,70.7339665999898,t,1.2330518999951892,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
100,105,260,25,5,2,t,0.8707679999934044,None,2,5,25,9,70.75001879999763,,70.73825869998836,70.75001879999763,71.73353109999152,71.73353109999152,71.74994349999179,72.61672720000206,t,0.8707679999934044,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
27,50,21,26,6,2,l,1.315989199996693,None,2,6,26,2,72.63330039998982,,72.61889349999547,72.63330039998982,73.61670539999614,73.61670539999614,73.63331639999524,74.93364979999023,l,1.315989199996693,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
40,55,62,27,7,2,t,5.271023499997682,None,2,7,27,3,74.94992079999065,,74.93584069999633,74.94992079999065,75.93324919999577,75.93324919999577,75.95007479999913,81.21699689999514,t,5.271023499997682,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
67,75,119,28,8,2,t,0.8303963000071235,None,2,8,28,5,81.23335299998871,,81.22175509999215,81.23335299998871,82.21704489999684,82.21704489999684,82.23335519999091,83.05017789998965,t,0.8303963000071235,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
78,80,162,29,9,2,t,0.8685490000061691,None,2,9,29,6,83.06669159999001,,83.0521643999964,83.06669159999001,84.04985539999325,84.04985539999325,84.06667279999238,84.93392470000254,t,0.8685490000061691,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
27,50,21,30,0,3,l,0.8896739000047091,None,3,0,30,2,84.95000589999836,,84.93696229999478,84.95000589999836,85.93341899999359,85.93341899999359,85.95013589999871,86.83374529999855,l,0.8896739000047091,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
15,35,13,31,1,3,l,1.2312985000025947,None,3,1,31,1,86.85013530000288,,86.83760529999563,86.85013530000288,87.83348780000233,87.83348780000233,87.84998009999981,89.06685319999815,l,1.2312985000025947,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
92,97,225,32,2,3,t,3.900830800004769,None,3,2,32,8,89.0834407999937,,89.07050039999012,89.0834407999937,90.06664009999076,90.06664009999076,90.08329619999859,93.98356589999457,t,3.900830800004769,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
11,30,7,33,3,3,l,0.9371097000112059,None,3,3,33,0,94.00009489999502,,93.98548639999353,94.00009489999502,94.98341570000048,94.98341570000048,95.00049140000192,95.9340261999896,l,0.9371097000112059,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
85,90,190,34,4,3,t,1.0969121000089217,None,3,4,34,7,95.94986239999707,,95.93686619999062,95.94986239999707,96.93329649999214,96.93329649999214,96.95001619998948,98.03389229999448,t,1.0969121000089217,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
100,105,260,35,5,3,t,1.5243919000058668,None,3,5,35,9,98.05059859999164,,98.03847759999917,98.05059859999164,99.03335789999983,99.03335789999983,99.05029919999652,100.56726999999955,t,1.5243919000058668,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
78,80,162,36,6,3,t,1.0420536999881733,None,3,6,36,6,100.5834191999893,,100.57214249999379,100.5834191999893,101.56651140000031,101.56651140000031,101.58327059999283,102.61732429999392,t,1.0420536999881733,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
67,75,119,37,7,3,t,3.193179100009729,None,3,7,37,5,102.63333189999685,,102.61969289999979,102.63333189999685,103.61669509999047,103.61669509999047,103.63339589998941,106.81761779999943,t,3.193179100009729,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
40,55,62,38,8,3,t,1.8373235000035493,None,3,8,38,3,106.83341599999403,,106.82013860000006,106.83341599999403,107.83340649999445,107.83340649999445,107.83340649999445,109.68394329999865,t,1.8373235000035493,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
49,60,89,39,9,3,t,1.3913826000061817,None,3,9,39,4,109.69990339998913,,109.68619229999604,109.69990339998913,110.68340860000171,110.68340860000171,110.70019339999999,112.08373949999805,t,1.3913826000061817,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
67,75,119,40,0,4,t,3.0283826000086265,None,4,0,40,5,112.09998959999939,,112.08614139999554,112.09998959999939,113.08338650000223,113.08338650000223,113.09994919999735,116.1168522999942,t,3.0283826000086265,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
27,50,21,41,1,4,l,1.916031100001419,None,4,1,41,2,116.13363799999934,,116.1189083999925,116.13363799999934,117.11660629999824,117.11660629999824,117.13338679999288,119.0336180000013,l,1.916031100001419,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
100,105,260,42,2,4,t,1.209749700006796,None,4,2,42,9,119.05003699999361,,119.03839469999366,119.05003699999361,120.03342049999628,120.03342049999628,120.04995960000088,121.2502819999936,t,1.209749700006796,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
15,35,13,43,3,4,l,2.109198699996341,None,4,3,43,1,121.26653209999495,,121.25240969999868,121.26653209999495,122.25001569998858,122.25001569998858,122.26692470000125,124.3671433999989,l,2.109198699996341,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
85,90,190,44,4,4,t,3.857337900000857,None,4,4,44,7,124.38369439999224,,124.37170360000164,124.38369439999224,125.36662289999367,125.36662289999367,125.38335659999575,129.2340053999942,t,3.857337900000857,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
40,55,62,45,5,4,t,0.7070856999926036,None,4,5,45,3,129.2499480999977,,129.23844269999245,129.2499480999977,130.23415119999845,130.23415119999845,130.24999260000186,130.95042269999976,t,0.7070856999926036,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
49,60,89,46,6,4,t,0.8259900999983074,None,4,6,46,4,130.96661799999129,,130.95338029999402,130.96661799999129,131.9500119000004,131.9500119000004,131.96656780000194,132.7836274000001,t,0.8259900999983074,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
92,97,225,47,7,4,t,1.2866102999978466,None,4,7,47,8,132.79995359999884,,132.7857229999936,132.79995359999884,133.78330889999052,133.78330889999052,133.79987729999993,135.0840515000018,t,1.2866102999978466,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
78,80,162,48,8,4,t,0.8610984999977518,None,4,8,48,6,135.1000015999889,,135.0863105999888,135.1000015999889,136.08338419999927,136.08338419999927,136.09995599999093,136.95070859999396,t,0.8610984999977518,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
11,30,7,49,9,4,l,0.8543614999944111,None,4,9,49,0,136.96680819999892,,136.95459529999061,136.96680819999892,137.9500168999948,137.9500168999948,137.966843599992,138.816722699994,l,0.8543614999944111,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
67,75,119,50,0,5,t,2.7017491000005975,None,5,0,50,5,138.8331768999924,,138.81897919999028,138.8331768999924,139.81673669999873,139.81673669999873,139.8332614999963,142.53383570000005,t,2.7017491000005975,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
85,90,190,51,1,5,t,2.165848000004189,None,5,1,51,7,142.55007079998904,,142.53704149999248,142.55007079998904,143.53331489999255,143.53331489999255,143.55006039999716,145.70023049999145,t,2.165848000004189,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
27,50,21,52,2,5,l,1.6534589000075357,None,5,2,52,2,145.716399500001,,145.7023984999978,145.716399500001,146.70035400000052,146.70035400000052,146.7165617999999,148.36687709999387,l,1.6534589000075357,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
78,80,162,53,3,5,t,4.337652100002742,None,5,3,53,6,148.383264899996,,148.36963899999682,148.383264899996,149.36665060000087,149.36665060000087,149.3831579999969,153.71690449999005,t,4.337652100002742,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
11,30,7,54,4,5,l,0.9226152000046568,None,5,4,54,0,153.73359069999424,,153.71999399999913,153.73359069999424,154.71660279999196,154.71660279999196,154.73366089999035,155.6503190999938,l,0.9226152000046568,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
15,35,13,55,5,5,l,1.1219853999937186,None,5,5,55,1,155.66648179999902,,155.65335159999086,155.66648179999902,156.65005199999723,156.65005199999723,156.66647509999166,157.7838069999998,l,1.1219853999937186,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
100,105,260,56,6,5,t,1.2185692000057315,None,5,6,56,9,157.79992720000155,,157.78619909999543,157.79992720000155,158.78348019999976,158.78348019999976,158.80008609998913,160.0171405000001,t,1.2185692000057315,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
40,55,62,57,7,5,t,6.554044699994847,None,5,7,57,3,160.0333263999928,,160.02128919999814,160.0333263999928,161.01677149999887,161.01677149999887,161.0333127999911,167.58422579999024,t,6.554044699994847,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
92,97,225,58,8,5,t,1.3398352999938652,None,5,8,58,8,167.60000859999855,,167.58723520000058,167.60000859999855,168.5999509999965,168.5999509999965,168.5999509999965,169.95020169999043,t,1.3398352999938652,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
49,60,89,59,9,5,t,2.686093099997379,None,5,9,59,4,169.96651919999567,,169.9521623999899,169.96651919999567,170.94996949999768,170.94996949999768,170.9664604999998,173.65031669999007,t,2.686093099997379,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
100,105,260,60,0,6,t,1.0878206999914255,None,6,0,60,9,173.66653360000055,,173.65377619999344,173.66653360000055,174.65012359998946,174.65012359998946,174.66675340000074,175.75053419999313,t,1.0878206999914255,None,part1,001,2025-10-30_12h04.18.233,untitled,,2025.1.1,60.01097000676046,2025-10-30 12h04.27.307792 +0530,
