stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
69,0.5,20.0,76.78636529995129,,76.77008069999283,76.78636529995129,77.26951849996112,77.26951849996112,77.28630629996769,,77.33666049997555,left,-20.0,0,0,0.06213140004547313,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
70,0.5,20.0,77.35287079995032,,77.33679769997252,77.35287079995032,77.8361900000018,77.8361900000018,77.85300780000398,,77.98671420000028,right,20.0,1,1,0.14313010004116222,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
71,0.5,20.0,78.00285999994958,,77.98691019997932,78.00285999994958,78.48682200000621,78.48682200000621,78.50373509997735,,78.68777069996577,left,-20.0,0,0,0.18575870001222938,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
72,0.5,20.0,78.7033655999694,,78.68795279995538,78.7033655999694,79.20363000000361,79.20363000000361,79.20363000000361,,79.21989919996122,left,-20.0,0,0,0.002421499986667186,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
73,0.5,20.0,79.23623059998499,,79.22004509996623,79.23623059998499,79.71969289996196,79.71969289996196,79.7361839999794,,79.81982340000104,right,20.0,1,1,0.09006729995599017,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
74,0.5,20.0,79.83636239997577,,79.81997089996003,79.83636239997577,80.32004179997602,80.32004179997602,80.33688689995324,80.61975600000005,80.71993039996596,left,-20.0,0,0,0.3907994000473991,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
75,0.5,20.0,80.73625029996037,,80.72005750000244,80.73625029996037,81.22004019998712,81.22004019998712,81.2363156999927,,81.23677009996027,right,20.0,1,1,0.009378699993249029,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
76,0.5,20.0,81.25383859995054,,81.23694899998372,81.25383859995054,81.7365751999896,81.7365751999896,81.75368209998123,,81.75411019998137,right,20.0,1,1,0.0030315000331029296,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
77,0.5,20.0,81.77027399995131,,81.75424519996159,81.77027399995131,82.25382409995655,82.25382409995655,82.2707024999545,,82.32061199995223,right,20.0,1,1,0.056550699984654784,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
78,0.5,19.5,82.33674659999087,,82.32073669997044,82.33674659999087,82.83694969996577,82.83694969996577,82.83694969996577,83.13604929996654,83.25455509999301,right,19.5,1,1,0.4027467999840155,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
79,0.5,19.5,83.26964899996528,,83.25475449999794,83.26964899996528,83.77033269999083,83.77033269999083,83.77033269999083,84.07044759998098,84.12370709999232,left,-19.5,0,0,0.3454053999739699,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
80,0.5,20.0,84.13638159999391,,84.12389829999302,84.13638159999391,84.63671890000114,84.63671890000114,84.63671890000114,84.93702379998285,85.05384749994846,left,-20.0,0,0,0.41630520002217963,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
81,0.5,20.0,85.06981459999224,,85.0539971999824,85.06981459999224,85.55345319997286,85.55345319997286,85.57001549995039,,85.57047439995222,right,20.0,1,1,0.013223900052253157,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
