pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.9181854000016756,None,0,0,0,0,,,,,0.013098599996737903,,0.010894600000028731,0.013098599996737903,1.001550799999677,1.001550799999677,1.001550799999677,1.001550799999677,1.0181951999984449,2.001775099997758,2.001775099997758,3.949577799998224,x,1,1.9181854000016756,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,1,1,0,v,1,1.2251452000018617,None,0,1,1,1,,,,,3.953329099997063,,3.950287199997547,3.953329099997063,4.952644499997405,4.952644499997405,4.952644499997405,4.952644499997405,4.968616799997108,5.951513799998793,5.951513799998793,7.1850986999997986,v,1,1.2251452000018617,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,2,2,0,c,1,0.37109110000164947,None,0,2,2,2,,,,,7.201391799997509,,7.185346899997967,7.201391799997509,8.184884199999942,8.184884199999942,8.184884199999942,8.184884199999942,8.201532799997949,9.184717099997215,9.184717099997215,9.568911799997295,c,1,0.37109110000164947,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,3,3,0,z,1,0.39696750000075554,None,0,3,3,3,,,,,9.584869899998012,,9.56932389999929,9.584869899998012,10.568566399997508,10.568566399997508,10.568566399997508,10.568566399997508,10.584934799997427,11.568383699999686,11.568383699999686,11.969489499999327,z,1,0.39696750000075554,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,4,0,1,x,1,0.3800258000010217,None,1,0,4,0,,,,,11.984880999996676,,11.969981399997778,11.984880999996676,12.984716299997672,12.984716299997672,12.984716299997672,12.984716299997672,12.984716299997672,13.9848267999987,13.9848267999987,14.369360299999244,x,1,0.3800258000010217,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,5,1,1,v,1,0.30525309999939054,None,1,1,5,1,,,,,14.384945999998308,,14.370215899998584,14.384945999998308,15.384837800000241,15.384837800000241,15.384837800000241,15.384837800000241,15.384837800000241,16.38476239999727,16.38476239999727,16.702391999999236,v,1,0.30525309999939054,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,6,2,1,c,1,0.38352189999932307,None,1,2,6,2,,,,,16.718698900000163,,16.702908199997182,16.718698900000163,17.701453099998616,17.701453099998616,17.701453099998616,17.701453099998616,17.71851549999701,18.718286799998168,18.718286799998168,19.119257299997116,c,1,0.38352189999932307,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,7,3,1,z,1,0.4538868999989063,None,1,3,7,3,,,,,19.135571699996945,,19.119576199998846,19.135571699996945,20.134880199999316,20.134880199999316,20.134880199999316,20.134880199999316,20.134880199999316,21.134707099998195,21.134707099998195,21.60212589999719,z,1,0.4538868999989063,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,8,0,2,x,1,0.37875789999816334,None,2,0,8,0,,,,,21.679744399996707,,21.60248479999791,21.679744399996707,22.601980899999035,22.601980899999035,22.601980899999035,22.601980899999035,22.68492189999961,23.601623599999584,23.601623599999584,23.985837000000174,x,1,0.37875789999816334,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,9,1,2,v,1,0.48134660000141594,None,2,1,9,1,,,,,24.00170199999775,,23.986574399998062,24.00170199999775,24.984769499998947,24.984769499998947,24.984769499998947,24.984769499998947,25.00150649999705,26.0016715999991,26.0016715999991,26.485214899999846,v,1,0.48134660000141594,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,10,2,2,c,1,0.3437207999995735,None,2,2,10,2,,,,,26.501478999998653,,26.48592799999824,26.501478999998653,27.484923799998796,27.484923799998796,27.484923799998796,27.484923799998796,27.50158499999816,28.485152799999923,28.485152799999923,28.835693999997602,c,1,0.3437207999995735,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,11,3,2,z,1,0.5176885000000766,None,2,3,11,3,,,,,28.851630499997555,,28.836412399999972,28.851630499997555,29.851531099997374,29.851531099997374,29.851531099997374,29.851531099997374,29.851531099997374,30.85157590000017,30.85157590000017,31.38577499999883,z,1,0.5176885000000766,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,12,0,3,x,1,0.42325219999838737,None,3,0,12,0,,,,,31.401447799999005,,31.38631549999991,31.401447799999005,32.40147189999698,32.40147189999698,32.40147189999698,32.40147189999698,32.40147189999698,33.40168789999734,33.40168789999734,33.83535889999985,x,1,0.42325219999838737,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,13,1,3,v,1,0.377573100002337,None,3,1,13,1,,,,,33.85143279999829,,33.83568169999853,33.85143279999829,34.834832699998515,34.834832699998515,34.834832699998515,34.834832699998515,34.8515711,35.83493029999954,35.83493029999954,36.218684499999654,v,1,0.377573100002337,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,14,2,3,c,1,0.3647172999990289,None,3,2,14,2,,,,,36.234833499998786,,36.21913929999937,36.234833499998786,37.218017999999574,37.218017999999574,37.218017999999574,37.218017999999574,37.23486760000014,38.218318699997326,38.218318699997326,38.58510309999838,c,1,0.3647172999990289,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,15,3,3,z,1,0.6153565000022354,None,3,3,15,3,,,,,38.60150619999695,,38.58546019999994,38.60150619999695,39.58496869999726,39.58496869999726,39.58496869999726,39.58496869999726,39.60175889999664,40.584749899997405,40.584749899997405,41.20201199999792,z,1,0.6153565000022354,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,16,0,4,x,1,0.3705651999989641,None,4,0,16,0,,,,,41.21808989999772,,41.202494399996795,41.21808989999772,42.2016165999994,42.2016165999994,42.2016165999994,42.2016165999994,42.21875259999797,43.20176379999975,43.20176379999975,43.58559509999759,x,1,0.3705651999989641,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,17,1,4,v,1,0.7181347999976424,None,4,1,17,1,,,,,43.60158749999755,,43.58585799999855,43.60158749999755,44.584860499999195,44.584860499999195,44.584860499999195,44.584860499999195,44.60153209999771,45.584918199998356,45.584918199998356,46.31874059999973,v,1,0.7181347999976424,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,18,2,4,c,1,0.3862374999989697,None,4,2,18,2,,,,,46.33493559999988,,46.31919509999716,46.33493559999988,47.31807409999965,47.31807409999965,47.31807409999965,47.31807409999965,47.33477159999893,48.31822859999738,48.31822859999738,48.719051999996736,c,1,0.3862374999989697,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,19,3,4,z,1,0.6333429000005708,None,4,3,19,3,,,,,48.734925400000066,,48.71948839999823,48.734925400000066,49.73572799999965,49.73572799999965,49.73572799999965,49.73572799999965,49.73572799999965,50.718165299997054,50.718165299997054,51.35415589999684,z,1,0.6333429000005708,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,20,0,5,x,1,0.9763304999978573,None,5,0,20,0,,,,,51.3689678999981,,51.35490419999769,51.3689678999981,52.368128199999774,52.368128199999774,52.368128199999774,52.368128199999774,52.368128199999774,53.36827069999708,53.36827069999708,54.353218399999605,x,1,0.9763304999978573,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,21,1,5,v,1,0.8022243999985221,None,5,1,21,1,,,,,54.36867919999713,,54.35367969999788,54.36867919999713,55.36825169999793,55.36825169999793,55.36825169999793,55.36825169999793,55.36825169999793,56.36814189999859,56.36814189999859,57.18547620000027,v,1,0.8022243999985221,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,22,2,5,c,1,0.38933820000238484,None,5,2,22,2,,,,,57.20194519999859,,57.18594189999931,57.20194519999859,58.18517339999744,58.18517339999744,58.18517339999744,58.18517339999744,58.201582300000155,59.18479609999849,59.18479609999849,59.585565399996995,c,1,0.38933820000238484,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,23,3,5,z,1,0.3943519999993441,None,5,3,23,3,,,,,59.60217679999914,,59.58589139999822,59.60217679999914,60.5849281999981,60.5849281999981,60.5849281999981,60.5849281999981,60.60164029999942,61.60161439999865,61.60161439999865,62.00232699999833,z,1,0.3943519999993441,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,24,0,6,x,1,0.3267833999998402,None,6,0,24,0,,,,,62.01843369999915,,62.00307909999901,62.01843369999915,63.00145379999958,63.00145379999958,63.00145379999958,63.00145379999958,63.01819639999667,64.00182609999683,64.00182609999683,64.33633039999768,x,1,0.3267833999998402,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,25,1,6,v,1,0.3543968000012683,None,6,1,25,1,,,,,64.35155659999873,,64.33697079999911,64.35155659999873,65.35140580000007,65.35140580000007,65.35140580000007,65.35140580000007,65.35140580000007,66.35149489999822,66.35149489999822,66.71889069999816,v,1,0.3543968000012683,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,26,2,6,c,1,0.3407155999993847,None,6,2,26,2,,,,,66.73481769999853,,66.71930499999871,66.73481769999853,67.71819609999875,67.71819609999875,67.71819609999875,67.71819609999875,67.73504359999788,68.71792399999686,68.71792399999686,69.06866799999989,c,1,0.3407155999993847,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,27,3,6,z,1,0.3684908999966865,None,6,3,27,3,,,,,69.08485440000004,,69.06910079999943,69.08485440000004,70.06828729999688,70.06828729999688,70.06828729999688,70.06828729999688,70.0848948999992,71.06804109999939,71.06804109999939,71.45228919999863,z,1,0.3684908999966865,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,28,0,7,x,1,0.3711702000000514,None,7,0,28,0,,,,,71.46812979999959,,71.45296699999744,71.46812979999959,72.45165819999966,72.45165819999966,72.45165819999966,72.45165819999966,72.46801039999991,73.4532971999979,73.4532971999979,73.83585409999796,x,1,0.3711702000000514,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,29,1,7,v,1,0.5023855999970692,None,7,1,29,1,,,,,73.85201579999921,,73.83647609999753,73.85201579999921,74.83506199999829,74.83506199999829,74.83506199999829,74.83506199999829,74.85157509999772,75.85156599999755,75.85156599999755,76.36871439999959,v,1,0.5023855999970692,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,30,2,7,c,1,0.3658120999971288,None,7,2,30,2,,,,,76.38506049999705,,76.3691321999977,76.38506049999705,77.36803939999663,77.36803939999663,77.36803939999663,77.36803939999663,77.38494259999788,78.36824709999928,78.36824709999928,78.73570370000016,c,1,0.3658120999971288,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,31,3,7,z,1,0.4226063999994949,None,7,3,31,3,,,,,78.75162379999892,,78.73639829999956,78.75162379999892,79.75148939999781,79.75148939999781,79.75148939999781,79.75148939999781,79.75148939999781,80.73505279999881,80.73505279999881,81.16864659999919,z,1,0.4226063999994949,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,32,0,8,x,1,0.3295122000017727,None,8,0,32,0,,,,,81.18523269999787,,81.16914209999959,81.18523269999787,82.16815209999913,82.16815209999913,82.16815209999913,82.16815209999913,82.18480889999773,83.16819509999914,83.16819509999914,83.50232629999664,x,1,0.3295122000017727,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,33,1,8,v,1,0.4111033999979554,None,8,1,33,1,,,,,83.51826359999905,,83.50299249999807,83.51826359999905,84.50251829999979,84.50251829999979,84.50251829999979,84.50251829999979,84.51812779999818,85.50148809999882,85.50148809999882,85.91876979999506,v,1,0.4111033999979554,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,34,2,8,c,1,0.44395000000076834,None,8,2,34,2,,,,,85.93481679999968,,85.91916610000044,85.93481679999968,86.91823179999483,86.91823179999483,86.91823179999483,86.91823179999483,86.93478749999485,87.91800469999725,87.91800469999725,88.36988369999744,c,1,0.44395000000076834,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,35,3,8,z,1,0.49235919999773614,None,8,3,35,3,,,,,88.38498009999603,,88.37026309999783,88.38498009999603,89.3847362000015,89.3847362000015,89.3847362000015,89.3847362000015,89.3847362000015,90.3848921999961,90.3848921999961,90.88580229999934,z,1,0.49235919999773614,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,36,0,9,x,1,0.409336999997322,None,9,0,36,0,,,,,90.90166419999878,,90.88628449999669,90.90166419999878,91.88556560000143,91.88556560000143,91.88556560000143,91.88556560000143,91.90167500000098,92.8849670999989,92.8849670999989,93.3022473999954,x,1,0.409336999997322,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,37,1,9,v,1,0.4287670999983675,None,9,1,37,1,,,,,93.3182256,,93.30303279999498,93.3182256,94.30172489999677,94.30172489999677,94.30172489999677,94.30172489999677,94.31820000000153,95.30277969999588,95.30277969999588,95.73565740000049,v,1,0.4287670999983675,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,38,2,9,c,1,0.41595900000538677,None,9,2,38,2,,,,,95.7516220999969,,95.736092799998,95.7516220999969,96.73497869999846,96.73497869999846,96.73497869999846,96.73497869999846,96.75173689999792,97.73560419999558,97.73560419999558,98.15239579999616,c,1,0.41595900000538677,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,39,3,9,z,1,0.33956909999687923,None,9,3,39,3,,,,,98.16808279999532,,98.15303649999987,98.16808279999532,99.15238639999734,99.15238639999734,99.15238639999734,99.15238639999734,99.16854969999986,100.15165849999903,100.15165849999903,100.50203160000092,z,1,0.33956909999687923,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,40,0,10,x,1,0.557712800000445,None,10,0,40,0,,,,,100.51807829999598,,100.50237840000045,100.51807829999598,101.50258559999929,101.50258559999929,101.50258559999929,101.50258559999929,101.51828589999786,102.50170049999724,102.50170049999724,103.06922420000046,x,1,0.557712800000445,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,41,1,10,v,1,0.41063979999307776,None,10,1,41,1,,,,,103.0850724999982,,103.06962940000085,103.0850724999982,104.084866899997,104.084866899997,104.084866899997,104.084866899997,104.084866899997,105.06804549999651,105.06804549999651,105.48597879999579,v,1,0.41063979999307776,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,42,2,10,c,1,0.36452319999807514,None,10,2,42,2,,,,,105.50155950000044,,105.48671699999977,105.50155950000044,106.50155000000086,106.50155000000086,106.50155000000086,106.50155000000086,106.50155000000086,107.50148230000195,107.50148230000195,107.86901219999709,c,1,0.36452319999807514,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,43,3,10,z,1,0.7330117000019527,None,10,3,43,3,,,,,107.88489950000076,,107.87012429999595,107.88489950000076,108.88489509999636,108.88489509999636,108.88489509999636,108.88489509999636,108.88489509999636,109.88535050000064,109.88535050000064,110.63598039999488,z,1,0.7330117000019527,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,44,0,11,x,1,0.5396500999995624,None,11,0,44,0,,,,,110.65157650000037,,110.63669649999792,110.65157650000037,111.65164179999556,111.65164179999556,111.65164179999556,111.65164179999556,111.65164179999556,112.65162150000106,112.65162150000106,113.2022708000004,x,1,0.5396500999995624,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,45,1,11,v,1,0.3307968000008259,None,11,1,45,1,,,,,113.21805969999696,,113.20270399999572,113.21805969999696,114.20203970000148,114.20203970000148,114.20203970000148,114.20203970000148,114.21811629999866,115.20156729999871,115.20156729999871,115.53570659999968,v,1,0.3307968000008259,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,46,2,11,c,1,0.37065569999685977,None,11,2,46,2,,,,,115.55158289999963,,115.53608079999685,115.55158289999963,116.53632449999714,116.53632449999714,116.53632449999714,116.53632449999714,116.55178979999619,117.53522829999565,117.53522829999565,117.91895479999948,c,1,0.37065569999685977,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,47,3,11,z,1,0.4416361000039615,None,11,3,47,3,,,,,117.93493640000088,,117.91929910000181,117.93493640000088,118.91912339999544,118.91912339999544,118.91912339999544,118.91912339999544,118.93492390000029,119.91810450000048,119.91810450000048,120.36944550000044,z,1,0.4416361000039615,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,48,0,12,x,1,0.6316922000041814,None,12,0,48,0,,,,,120.3849623999995,,120.36982989999524,120.3849623999995,121.38483629999973,121.38483629999973,121.38483629999973,121.38483629999973,121.38483629999973,122.38483409999753,122.38483409999753,123.01850199999899,x,1,0.6316922000041814,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,49,1,12,v,1,0.4272367999947164,None,12,1,49,1,,,,,123.03496910000104,,123.01884630000131,123.03496910000104,124.01803359999758,124.01803359999758,124.01803359999758,124.01803359999758,124.03709949999757,125.01813079999556,125.01813079999556,125.45210669999506,v,1,0.4272367999947164,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,50,2,12,c,1,0.4156202000012854,None,12,2,50,2,,,,,125.46854460000031,,125.45243759999721,125.46854460000031,126.45172250000178,126.45172250000178,126.45172250000178,126.45172250000178,126.46819809999579,127.45170559999679,127.45170559999679,127.86898649999785,c,1,0.4156202000012854,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-150,z,51,3,12,z,1,0.5190413000018452,None,12,3,51,3,,,,,127.88491100000101,,127.86935149999772,127.88491100000101,128.86830329999793,128.86830329999793,128.86830329999793,128.86830329999793,128.8852995999987,129.8680858000007,129.8680858000007,130.40263799999957,z,1,0.5190413000018452,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
-50,x,52,0,13,x,1,0.5746380999989924,None,13,0,52,0,,,,,130.41910880000069,,130.4031793999966,130.41910880000069,131.40245049999794,131.40245049999794,131.40245049999794,131.40245049999794,131.41814149999846,132.4193465999997,132.4193465999997,133.00277199999982,x,1,0.5746380999989924,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
150,v,53,1,13,v,1,0.49005319999560015,None,13,1,53,1,,,,,133.01825290000124,,133.0032532999976,133.01825290000124,134.00180269999692,134.00180269999692,134.00180269999692,134.00180269999692,134.01818009999988,135.0184459000011,135.0184459000011,135.5185863000006,v,1,0.49005319999560015,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
50,c,54,2,13,c,1,0.4988197999991826,None,13,2,54,2,,,,,135.53570690000197,,135.51884060000157,135.53570690000197,136.51820210000005,136.51820210000005,136.51820210000005,136.51820210000005,136.53501680000045,137.51807120000012,137.51807120000012,138.01890959999582,c,1,0.4988197999991826,None,,,,,pp2,001,2025-10-02_00h04.51.144,motor sequence,,2025.1.1,59.9517508303883,2025-10-02 00h05.04.931884 +0530,
